ROOT,Root gender,fixed classes,paradigm saturation (sg/pl)
DOCTORESS,fem,I,partial
POLECATDIM,fem,I,partial
SPIDERDIM,masc,II,partial
PYRAMID,fem,III,partial
TRIPA,fem,I,partial
TURTLEDOVE,fem,I,partial
THINCORD,masc,II,partial
RIBBONDIMDIM,masc,II,partial
RIBBONDIM,masc,II,partial
CANDY,fem,I,partial
COLUMN,fem,I,partial
VILLAGEB,masc,II,partial
FRANKFURTERA,masc,VI,full
WALK,fem,I,partial
LAKE,masc,II,partial
DOOR,fem,I,partial
LUGGAGECART,masc,II,partial
NOISE,masc,III,partial
FIELD,masc,II,partial
GROUND,masc,II,partial
JARDIM,masc,II,partial
NEIGHBOR,fem,I,partial
BARN,masc,II,partial
WHEAT,masc,II,partial
WORMDIM,masc,II,partial
RIDINGWHIP,masc,II,partial
SADDLE,fem,I,partial
PIG,masc,III,partial
TELEVISION,fem,III,partial
PRECEDENCE,fem,I,partial
SWIMMINGPOOLDIM,fem,I,partial
SWIMMINGPOOL,fem,I,partial
ELBOW,masc,II,partial
DEMONSTRATION,fem,III,partial
DUEL,masc,II,partial
STUFF,fem,I,partial
CHEESE,masc,II,partial
PREFERENCE,fem,I,partial
POLECAT,fem,I,partial
FINEBRAID,fem,I,partial
SALVE,fem,I,partial
SALVEDIM,fem,I,partial
COLT,masc,II,partial
PEEPEE,fem,VI,partial
FRANKFURTERB,masc,VI,partial
VACCINATION,fem,III,partial
MEASLES,masc,II,partial
ILLNESS,fem,I,partial
POLIOMYELITIS,fem,VI,partial
TETANUS,masc,II,partial
SISTERDIM,fem,I,partial
MOUNTAIN,fem,I,partial
BEAVER,masc,II,partial
COCKTAIL,masc,VI,partial
MOLDDIM,fem,I,partial
WOODPECKER,masc,II,partial
