diacritic,pronunciation,label,values,triggers,weight
null_25,null,nominalizer,"{'i_1', 'o_1'}","{('null', frozenset({'+atomic'}))}",8.30000000000001
BUTTONDIM_1,BUTTONDIM,BUTTONDIM,set(),set(),9.9
BUTTONDIM_2,BUTTONDIM,BUTTONDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.0
BUTTON_1,BUTTON,BUTTON,set(),set(),10.700000000000001
BUTTON_2,BUTTON,BUTTON,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",12.0
DOGDIM_1,DOGDIM,DOGDIM,set(),set(),11.100000000000001
DOGDIM_2,DOGDIM,DOGDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",13.4
BIB_1,BIB,BIB,set(),set(),9.9
BIB_2,BIB,BIB,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.0
POCKET_1,POCKET,POCKET,set(),set(),10.0
POCKET_2,POCKET,POCKET,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
null_26,null,nominalizer,"{'a_2', 'e_2'}","{('e', frozenset({'-atomic'}))}",16.699999999999992
BALLDIM_3,BALLDIM,BALLDIM,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.300000000000002
BALLDIM_4,BALLDIM,BALLDIM,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",18.5
TONGUEDIM_1,TONGUEDIM,TONGUEDIM,set(),set(),9.8
TONGUEDIM_2,TONGUEDIM,TONGUEDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.0
MUSIC_1,MUSIC,MUSIC,set(),set(),9.9
MUSIC_2,MUSIC,MUSIC,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.5
BELLY_1,BELLY,BELLY,set(),set(),10.0
BELLY_2,BELLY,BELLY,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.3
TAPERECORDER_1,TAPERECORDER,TAPERECORDER,set(),set(),10.200000000000001
TAPERECORDER_2,TAPERECORDER,TAPERECORDER,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",13.5
LID_1,LID,LID,set(),set(),10.200000000000001
LID_2,LID,LID,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
CROSS_1,CROSS,CROSS,set(),set(),10.700000000000001
CROSS_2,CROSS,CROSS,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.5
RINGA_1,RINGA,RINGA,set(),set(),10.200000000000001
RINGA_2,RINGA,RINGA,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.9
CLOVER_1,CLOVER,CLOVER,set(),set(),10.5
CLOVER_2,CLOVER,CLOVER,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.0
TRIANGLE_1,TRIANGLE,TRIANGLE,set(),set(),12.8
TRIANGLE_2,TRIANGLE,TRIANGLE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",14.5
PIECE_3,PIECE,PIECE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.100000000000001
PIECE_4,PIECE,PIECE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",12.4
HOLE_1,HOLE,HOLE,set(),set(),11.100000000000001
HOLE_2,HOLE,HOLE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
SEMICIRCLE_1,SEMICIRCLE,SEMICIRCLE,set(),set(),10.4
SEMICIRCLE_2,SEMICIRCLE,SEMICIRCLE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.0
PLACE_1,PLACE,PLACE,set(),set(),10.3
PLACE_2,PLACE,PLACE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
LOCOMOTIVE_1,LOCOMOTIVE,LOCOMOTIVE,set(),set(),10.200000000000001
LOCOMOTIVE_2,LOCOMOTIVE,LOCOMOTIVE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
DAYB_1,DAYB,DAYB,set(),set(),10.900000000000002
DAYB_2,DAYB,DAYB,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.0
PAIR_1,PAIR,PAIR,set(),set(),10.4
PAIR_2,PAIR,PAIR,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.0
HAMSTER_1,HAMSTER,HAMSTER,set(),set(),9.9
HAMSTER_2,HAMSTER,HAMSTER,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.0
PIECEDIM_1,PIECEDIM,PIECEDIM,set(),set(),10.200000000000001
PIECEDIM_2,PIECEDIM,PIECEDIM,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.200000000000001
BOOK_3,BOOK,BOOK,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
BOOK_4,BOOK,BOOK,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",10.5
FIGURE_1,FIGURE,FIGURE,set(),set(),10.5
FIGURE_2,FIGURE,FIGURE,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",10.0
MOUSEDIM_1,MOUSEDIM,MOUSEDIM,set(),set(),9.700000000000001
MOUSEDIM_2,MOUSEDIM,MOUSEDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.5
FIRE_1,FIRE,FIRE,set(),set(),10.0
FIRE_2,FIRE,FIRE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.0
POT_1,POT,POT,set(),set(),10.0
POT_2,POT,POT,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
BOTTLE_1,BOTTLE,BOTTLE,set(),set(),10.9
BOTTLE_2,BOTTLE,BOTTLE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
CANDLE_1,CANDLE,CANDLE,set(),set(),9.9
CANDLE_2,CANDLE,CANDLE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.5
la_2,la,definite,"{'+atomic', '-definite'}",set(),10.000000000000002
la_3,la,definite,{'+atomic'},set(),8.700000000000005
null_27,null,nominalizer,{'la_2'},set(),10.0
null_28,null,nominalizer,{'la_2'},"{('a', frozenset({'+atomic'}))}",10.5
THING_1,THING,THING,set(),set(),10.100000000000001
THING_2,THING,THING,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.000000000000002
MOON_1,MOON,MOON,set(),set(),10.600000000000003
MOON_2,MOON,MOON,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",14.0
l_2,l,definite,{'+atomic'},set(),10.000000000000009
a_3,a,Agr,{'-definite'},set(),12.300000000000004
o_3,o,Agr,{'+definite'},set(),10.0
CAT_1,CAT,CAT,set(),set(),10.200000000000003
CAT_2,CAT,CAT,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",23.699999999999996
FOX_1,FOX,FOX,set(),set(),10.100000000000001
FOX_2,FOX,FOX,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",11.5
BOOKDIM_1,BOOKDIM,BOOKDIM,set(),set(),10.400000000000006
BOOKDIM_2,BOOKDIM,BOOKDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",19.0
HORSEDIM_1,HORSEDIM,HORSEDIM,set(),set(),10.3
HORSEDIM_2,HORSEDIM,HORSEDIM,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.5
CAROUSEL_1,CAROUSEL,CAROUSEL,set(),set(),9.9
CAROUSEL_2,CAROUSEL,CAROUSEL,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.9
BAMBINO_1,BAMBINO,BAMBINO,set(),set(),11.200000000000003
BAMBINO_2,BAMBINO,BAMBINO,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
FAIRY_1,FAIRY,FAIRY,set(),set(),10.0
FAIRY_2,FAIRY,FAIRY,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
WHALE_1,WHALE,WHALE,set(),set(),10.9
WHALE_2,WHALE,WHALE,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.5
COUNTRY_1,COUNTRY,COUNTRY,set(),set(),9.700000000000001
COUNTRY_2,COUNTRY,COUNTRY,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.5
PLURAL_1,PLURAL,PLURAL,set(),set(),9.9
