Line,"{'+atomic', '+definite'} - definite - a_2","{'+definite', '-atomic'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'+definite', '-atomic'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
3437,487.90000000004244,291.4999999999978,477.30000000004003,186.89999999999367,178.89999999999412,269.39999999999276,101.49999999999851,201.09999999999286,29.20000000000015
3438,487.90000000004244,291.5999999999978,477.6000000000401,186.89999999999367,178.99999999999412,269.4999999999928,101.5999999999985,201.29999999999285,29.20000000000015
3439,488.30000000004253,291.69999999999783,477.6000000000401,186.99999999999366,178.99999999999412,269.5999999999928,101.5999999999985,201.29999999999285,29.20000000000015
3440,488.40000000004255,291.8999999999979,477.7000000000401,186.99999999999366,178.99999999999412,269.5999999999928,101.5999999999985,201.29999999999285,29.20000000000015
3441,488.5000000000426,292.19999999999794,477.80000000004014,186.99999999999366,178.99999999999412,269.5999999999928,101.5999999999985,201.29999999999285,29.20000000000015
3442,488.90000000004267,292.29999999999797,477.80000000004014,187.09999999999366,178.99999999999412,269.6999999999928,101.5999999999985,201.29999999999285,29.20000000000015
3443,489.0000000000427,292.59999999999803,477.90000000004017,187.09999999999366,178.99999999999412,269.6999999999928,101.5999999999985,201.29999999999285,29.20000000000015
3444,489.1000000000427,292.59999999999803,477.90000000004017,187.39999999999364,178.99999999999412,269.6999999999928,101.5999999999985,201.29999999999285,29.30000000000015
3445,489.20000000004273,292.59999999999803,478.0000000000402,187.39999999999364,178.99999999999412,269.8999999999929,101.5999999999985,201.29999999999285,29.30000000000015
3446,489.5000000000428,292.69999999999806,478.0000000000402,187.49999999999363,178.99999999999412,269.9999999999929,101.5999999999985,201.29999999999285,29.30000000000015
3447,489.9000000000429,292.7999999999981,478.0000000000402,187.59999999999363,178.99999999999412,270.0999999999929,101.5999999999985,201.29999999999285,29.30000000000015
3448,489.9000000000429,292.7999999999981,478.1000000000402,187.59999999999363,179.0999999999941,270.0999999999929,101.5999999999985,201.29999999999285,29.30000000000015
