Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '+atomic'} - definite - o_2","{'-definite', '+atomic'} - definite - o_2","{'-definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - i_2"
141,13.999999999999968,10.59999999999998,15.599999999999962,6.199999999999995,5.699999999999997,9.699999999999983
142,14.099999999999968,10.59999999999998,15.599999999999962,6.199999999999995,5.799999999999996,9.699999999999983
143,14.099999999999968,10.69999999999998,15.899999999999961,6.2999999999999945,5.799999999999996,9.799999999999983
144,14.099999999999968,10.69999999999998,15.999999999999961,6.399999999999994,5.799999999999996,9.799999999999983
145,14.099999999999968,10.79999999999998,16.299999999999965,6.499999999999994,5.799999999999996,9.899999999999983
146,14.099999999999968,10.79999999999998,16.399999999999967,6.599999999999993,5.799999999999996,9.899999999999983
147,14.499999999999966,10.899999999999979,16.399999999999967,6.599999999999993,5.899999999999996,9.999999999999982
148,14.799999999999965,10.999999999999979,16.399999999999967,6.599999999999993,5.999999999999996,10.099999999999982
149,15.199999999999964,11.099999999999978,16.399999999999967,6.599999999999993,6.099999999999995,10.199999999999982
150,15.299999999999963,11.399999999999977,16.499999999999968,6.599999999999993,6.099999999999995,10.199999999999982
151,15.399999999999963,11.399999999999977,16.59999999999997,6.599999999999993,6.099999999999995,10.39999999999998
152,15.499999999999963,11.399999999999977,16.69999999999997,6.599999999999993,6.099999999999995,10.59999999999998
153,15.499999999999963,11.399999999999977,16.799999999999972,6.799999999999993,6.099999999999995,10.59999999999998
154,15.599999999999962,11.399999999999977,16.799999999999972,6.799999999999993,6.199999999999995,10.59999999999998
155,15.699999999999962,11.399999999999977,16.899999999999974,6.799999999999993,6.199999999999995,10.79999999999998
156,15.699999999999962,11.499999999999977,17.29999999999998,6.899999999999992,6.199999999999995,10.899999999999979
157,15.799999999999962,11.499999999999977,17.29999999999998,6.899999999999992,6.2999999999999945,10.899999999999979
158,15.799999999999962,11.599999999999977,17.599999999999984,6.999999999999992,6.2999999999999945,10.999999999999979
159,15.799999999999962,11.699999999999976,17.99999999999999,7.099999999999992,6.2999999999999945,11.099999999999978
160,16.099999999999962,11.799999999999976,17.99999999999999,7.099999999999992,6.399999999999994,11.199999999999978
161,16.099999999999962,11.799999999999976,18.09999999999999,7.199999999999991,6.399999999999994,11.199999999999978
162,16.199999999999964,11.799999999999976,18.199999999999992,7.199999999999991,6.399999999999994,11.399999999999977
163,16.299999999999965,11.799999999999976,18.299999999999994,7.199999999999991,6.399999999999994,11.599999999999977
164,16.299999999999965,11.799999999999976,18.399999999999995,7.299999999999991,6.399999999999994,11.599999999999977
165,16.399999999999967,11.799999999999976,18.399999999999995,7.299999999999991,6.499999999999994,11.599999999999977
166,16.499999999999968,11.999999999999975,18.499999999999996,7.299999999999991,6.499999999999994,11.599999999999977
167,16.59999999999997,11.999999999999975,18.599999999999998,7.299999999999991,6.499999999999994,11.899999999999975
168,16.69999999999997,11.999999999999975,18.7,7.299999999999991,6.499999999999994,12.099999999999975
169,16.799999999999972,12.199999999999974,18.8,7.299999999999991,6.499999999999994,12.099999999999975
170,16.899999999999974,12.199999999999974,18.900000000000002,7.299999999999991,6.499999999999994,12.399999999999974
171,16.899999999999974,12.199999999999974,19.000000000000004,7.49999999999999,6.499999999999994,12.399999999999974
172,16.999999999999975,12.499999999999973,19.100000000000005,7.49999999999999,6.499999999999994,12.399999999999974
173,17.39999999999998,12.599999999999973,19.100000000000005,7.49999999999999,6.599999999999993,12.499999999999973
174,17.499999999999982,12.599999999999973,19.100000000000005,7.49999999999999,6.799999999999993,12.499999999999973
175,17.599999999999984,12.599999999999973,19.100000000000005,7.49999999999999,6.899999999999992,12.499999999999973
176,17.99999999999999,12.699999999999973,19.100000000000005,7.49999999999999,6.999999999999992,12.599999999999973
177,18.09999999999999,12.699999999999973,19.100000000000005,7.49999999999999,7.099999999999992,12.599999999999973
178,18.09999999999999,12.799999999999972,19.40000000000001,7.59999999999999,7.099999999999992,12.699999999999973
179,18.199999999999992,12.799999999999972,19.40000000000001,7.59999999999999,7.199999999999991,12.699999999999973
180,18.599999999999998,12.899999999999972,19.40000000000001,7.59999999999999,7.299999999999991,12.799999999999972
181,18.7,13.099999999999971,19.50000000000001,7.59999999999999,7.299999999999991,12.799999999999972
182,18.7,13.099999999999971,19.600000000000012,7.6999999999999895,7.299999999999991,12.799999999999972
183,18.8,13.29999999999997,19.700000000000014,7.6999999999999895,7.299999999999991,12.799999999999972
184,18.900000000000002,13.29999999999997,19.700000000000014,7.6999999999999895,7.399999999999991,12.799999999999972
185,19.000000000000004,13.29999999999997,19.800000000000015,7.6999999999999895,7.399999999999991,12.999999999999972
186,19.100000000000005,13.29999999999997,19.800000000000015,7.6999999999999895,7.59999999999999,12.999999999999972
