Line,set(),{'la_1'},{'lo_1'},{'a_2'},{'o_2'},{'e_1'},"{'i_2', 'o_2'}",{'i_2'},"{'e_1', 'a_2'}","{'e_1', 'o_2'}","{'i_2', 'a_2'}"
84,10.299999999999999,0,0,18.400000000000013,21.00000000000005,10.799999999999997,12.299999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
85,10.299999999999999,0,0,18.500000000000014,21.10000000000005,10.799999999999997,12.299999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
86,10.299999999999999,0,0,18.500000000000014,21.500000000000057,10.799999999999997,12.299999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.399999999999999
87,10.299999999999999,0,0,18.700000000000017,21.500000000000057,10.799999999999997,12.299999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.599999999999998
88,10.299999999999999,0,0,18.700000000000017,21.70000000000006,10.799999999999997,12.299999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.599999999999998
89,10.299999999999999,0,0,18.700000000000017,22.000000000000064,10.799999999999997,12.399999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.599999999999998
90,10.299999999999999,0,0,18.80000000000002,22.100000000000065,10.799999999999997,12.399999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.599999999999998
91,10.299999999999999,0,0,18.80000000000002,22.50000000000007,10.799999999999997,12.399999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.599999999999998
92,10.299999999999999,0,0,18.80000000000002,22.700000000000074,10.799999999999997,12.399999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.599999999999998
93,10.299999999999999,0,0,19.00000000000002,22.700000000000074,10.799999999999997,12.399999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.599999999999998
94,10.299999999999999,0,0,19.300000000000026,22.700000000000074,10.799999999999997,12.399999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.599999999999998
95,10.299999999999999,0,0,19.300000000000026,22.800000000000075,10.799999999999997,12.399999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.599999999999998
96,10.299999999999999,0,0,19.300000000000026,23.20000000000008,10.799999999999997,12.399999999999997,10.599999999999998,11.199999999999998,11.299999999999999,10.599999999999998
97,10.299999999999999,0,0,19.70000000000003,23.20000000000008,10.799999999999997,12.399999999999997,10.599999999999998,11.699999999999998,11.299999999999999,11.099999999999998
98,10.299999999999999,0,0,20.100000000000037,23.20000000000008,10.799999999999997,12.399999999999997,10.599999999999998,11.899999999999997,11.299999999999999,11.099999999999998
99,10.299999999999999,0,0,20.20000000000004,23.300000000000082,10.799999999999997,12.399999999999997,10.599999999999998,11.999999999999996,11.299999999999999,11.099999999999998
100,10.299999999999999,0,0,20.30000000000004,23.400000000000084,10.799999999999997,12.399999999999997,10.699999999999998,11.999999999999996,11.299999999999999,11.099999999999998
101,10.299999999999999,0,0,20.40000000000004,23.500000000000085,10.799999999999997,12.399999999999997,10.799999999999997,11.999999999999996,11.299999999999999,11.099999999999998
102,10.299999999999999,0,0,20.500000000000043,23.600000000000087,10.899999999999997,12.399999999999997,10.799999999999997,11.999999999999996,11.299999999999999,11.099999999999998
103,10.299999999999999,0,0,20.600000000000044,23.700000000000088,10.899999999999997,12.399999999999997,10.799999999999997,11.999999999999996,11.299999999999999,11.099999999999998
104,10.299999999999999,0,0,20.600000000000044,23.90000000000009,10.899999999999997,12.399999999999997,10.799999999999997,11.999999999999996,11.299999999999999,11.099999999999998
105,10.299999999999999,0,0,20.700000000000045,24.000000000000092,10.899999999999997,12.399999999999997,10.899999999999997,11.999999999999996,11.299999999999999,11.099999999999998
106,10.299999999999999,0,0,20.800000000000047,24.100000000000094,10.999999999999996,12.399999999999997,10.899999999999997,11.999999999999996,11.299999999999999,11.099999999999998
107,10.299999999999999,0,0,20.800000000000047,24.300000000000097,10.999999999999996,12.399999999999997,10.899999999999997,11.999999999999996,11.299999999999999,11.099999999999998
108,10.299999999999999,0,0,20.90000000000005,24.400000000000098,10.999999999999996,12.499999999999996,10.899999999999997,11.999999999999996,11.299999999999999,11.099999999999998
109,10.299999999999999,0,0,21.00000000000005,24.400000000000098,10.999999999999996,12.499999999999996,10.899999999999997,12.099999999999996,11.299999999999999,11.099999999999998
110,10.299999999999999,0,0,21.00000000000005,25.000000000000107,10.999999999999996,12.999999999999996,10.899999999999997,12.099999999999996,11.899999999999999,11.099999999999998
111,10.299999999999999,0,0,21.10000000000005,25.000000000000107,10.999999999999996,12.999999999999996,10.899999999999997,12.199999999999996,11.899999999999999,11.099999999999998
112,10.299999999999999,0,0,21.500000000000057,25.000000000000107,10.999999999999996,12.999999999999996,10.899999999999997,12.199999999999996,11.899999999999999,11.199999999999998
113,10.299999999999999,0,0,21.60000000000006,25.100000000000108,10.999999999999996,13.099999999999996,10.899999999999997,12.199999999999996,11.899999999999999,11.199999999999998
114,10.299999999999999,0,0,22.000000000000064,25.100000000000108,10.999999999999996,13.099999999999996,10.899999999999997,12.199999999999996,11.899999999999999,11.199999999999998
115,10.299999999999999,0,0,22.000000000000064,25.500000000000114,10.999999999999996,13.099999999999996,10.899999999999997,12.199999999999996,11.899999999999999,11.199999999999998
116,10.299999999999999,0,0,22.100000000000065,25.600000000000115,10.999999999999996,13.099999999999996,10.899999999999997,12.199999999999996,11.899999999999999,11.299999999999997
117,10.299999999999999,0,0,22.50000000000007,25.600000000000115,10.999999999999996,13.099999999999996,10.899999999999997,12.199999999999996,11.899999999999999,11.299999999999997
