Line,set(),{'la_1'},{'a_2'},{'e_1'},{'i_1'},"{'e_1', 'a_2'}","{'i_1', 'o_1'}",{'o_1'},"{'i_1', 'a_2'}","{'e_1', 'o_1'}"
22,10.499999999999998,0,12.499999999999991,10.399999999999999,10.2,10.299999999999999,10.799999999999999,10.1,,
23,10.499999999999998,0,12.59999999999999,10.399999999999999,10.399999999999999,10.299999999999999,11.299999999999999,10.1,,
24,10.499999999999998,0,12.79999999999999,10.399999999999999,10.399999999999999,10.299999999999999,11.299999999999999,10.1,,
25,10.499999999999998,0,12.89999999999999,10.399999999999999,10.599999999999998,10.299999999999999,11.799999999999999,10.1,,
26,10.499999999999998,0,12.89999999999999,10.399999999999999,10.599999999999998,10.299999999999999,11.799999999999999,10.1,,
27,10.499999999999998,0,12.89999999999999,10.399999999999999,10.599999999999998,10.299999999999999,11.799999999999999,10.1,,
28,10.499999999999998,0,12.89999999999999,10.399999999999999,10.599999999999998,10.299999999999999,11.799999999999999,10.1,,
29,10.499999999999998,0,12.99999999999999,10.399999999999999,10.699999999999998,10.299999999999999,11.799999999999999,10.1,,
30,10.499999999999998,0,13.299999999999988,10.399999999999999,10.699999999999998,10.299999999999999,11.799999999999999,10.1,,
31,10.499999999999998,0,13.399999999999988,10.399999999999999,10.699999999999998,10.299999999999999,11.799999999999999,10.1,,
32,10.499999999999998,0,13.599999999999987,10.399999999999999,10.699999999999998,10.299999999999999,11.799999999999999,10.1,,
33,10.499999999999998,0,13.999999999999986,10.399999999999999,10.799999999999997,10.299999999999999,11.799999999999999,10.1,,
34,10.499999999999998,0,14.399999999999984,10.399999999999999,10.799999999999997,10.299999999999999,11.799999999999999,10.1,,
35,10.499999999999998,0,14.499999999999984,10.399999999999999,10.899999999999997,10.299999999999999,11.799999999999999,10.1,,
36,10.499999999999998,0,14.599999999999984,10.399999999999999,10.899999999999997,10.299999999999999,11.799999999999999,10.1,10.0,
37,10.499999999999998,0,15.099999999999982,10.399999999999999,10.899999999999997,10.299999999999999,11.799999999999999,10.1,10.0,
38,10.499999999999998,0,15.099999999999982,10.399999999999999,10.899999999999997,10.299999999999999,11.799999999999999,10.1,10.0,
39,10.499999999999998,0,15.199999999999982,10.399999999999999,10.899999999999997,10.299999999999999,11.799999999999999,10.1,10.0,
40,10.499999999999998,0,15.299999999999981,10.399999999999999,10.899999999999997,10.299999999999999,11.799999999999999,10.1,10.0,
41,10.499999999999998,0,15.59999999999998,10.399999999999999,10.899999999999997,10.299999999999999,11.799999999999999,10.1,10.0,
42,10.499999999999998,0,15.999999999999979,10.399999999999999,10.899999999999997,10.299999999999999,11.799999999999999,10.1,10.0,
43,10.499999999999998,0,15.999999999999979,10.399999999999999,10.899999999999997,10.299999999999999,12.299999999999999,10.399999999999999,10.0,
44,10.499999999999998,0,16.09999999999998,10.399999999999999,10.899999999999997,10.399999999999999,12.299999999999999,10.399999999999999,10.0,
45,10.499999999999998,0,16.19999999999998,10.399999999999999,10.899999999999997,10.399999999999999,12.299999999999999,10.399999999999999,10.0,
46,10.499999999999998,0,16.299999999999983,10.499999999999998,10.899999999999997,10.399999999999999,12.299999999999999,10.399999999999999,10.0,
47,10.499999999999998,0,16.499999999999986,10.499999999999998,10.899999999999997,10.399999999999999,12.299999999999999,10.399999999999999,10.0,
48,10.499999999999998,0,16.69999999999999,10.499999999999998,10.899999999999997,10.399999999999999,12.299999999999999,10.399999999999999,10.0,
49,10.499999999999998,0,16.79999999999999,10.499999999999998,10.899999999999997,10.399999999999999,12.299999999999999,10.399999999999999,10.0,
50,10.499999999999998,0,16.79999999999999,10.499999999999998,10.899999999999997,10.399999999999999,12.299999999999999,10.399999999999999,10.0,
51,10.499999999999998,0,16.79999999999999,10.499999999999998,10.999999999999996,10.399999999999999,12.399999999999999,10.399999999999999,10.0,
52,10.499999999999998,0,16.89999999999999,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.399999999999999,10.0,
53,10.499999999999998,0,17.5,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.399999999999999,10.0,
54,10.499999999999998,0,17.900000000000006,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.399999999999999,10.0,
55,10.499999999999998,0,17.900000000000006,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.499999999999998,10.0,
56,10.499999999999998,0,18.20000000000001,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.499999999999998,10.0,
57,10.499999999999998,0,18.20000000000001,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.499999999999998,10.0,
58,10.499999999999998,0,18.30000000000001,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.499999999999998,10.0,
59,10.499999999999998,0,18.400000000000013,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.499999999999998,10.0,
60,10.499999999999998,0,18.500000000000014,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.499999999999998,10.0,
61,10.499999999999998,0,19.100000000000023,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.499999999999998,10.0,
62,10.499999999999998,0,19.70000000000003,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.499999999999998,10.0,
63,10.499999999999998,0,20.100000000000037,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.499999999999998,10.0,
64,10.499999999999998,0,20.100000000000037,10.499999999999998,10.999999999999996,10.499999999999998,12.399999999999999,10.599999999999998,10.0,
65,10.499999999999998,0,20.20000000000004,10.499999999999998,11.099999999999996,10.499999999999998,12.399999999999999,10.599999999999998,10.0,
66,10.499999999999998,0,20.30000000000004,10.499999999999998,11.099999999999996,10.499999999999998,12.399999999999999,10.599999999999998,10.0,
67,10.499999999999998,0,20.700000000000045,10.499999999999998,11.099999999999996,10.499999999999998,12.399999999999999,10.599999999999998,10.0,
68,10.499999999999998,0,21.10000000000005,10.499999999999998,11.099999999999996,10.499999999999998,12.399999999999999,10.599999999999998,10.0,
