Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '-atomic'} - definite - i_1","{'+atomic', '-definite'} - definite - a_2","{'+definite', '+atomic'} - definite - o_1","{'+atomic', '-definite'} - definite - o_1"
30,3.8000000000000025,2.4000000000000012,3.500000000000002,2.100000000000001,3.8000000000000025,1.8000000000000007
31,3.9000000000000026,2.6000000000000014,3.500000000000002,2.100000000000001,3.9000000000000026,1.8000000000000007
32,4.000000000000003,2.6000000000000014,3.500000000000002,2.200000000000001,3.9000000000000026,1.8000000000000007
33,4.300000000000002,2.7000000000000015,3.6000000000000023,2.300000000000001,3.9000000000000026,1.8000000000000007
34,4.6000000000000005,2.8000000000000016,3.7000000000000024,2.4000000000000012,3.9000000000000026,1.8000000000000007
35,4.7,2.8000000000000016,3.9000000000000026,2.4000000000000012,4.000000000000003,1.8000000000000007
36,4.8,2.8000000000000016,4.100000000000002,2.4000000000000012,4.100000000000002,1.8000000000000007
37,5.199999999999998,2.9000000000000017,4.200000000000002,2.5000000000000013,4.100000000000002,1.8000000000000007
38,5.199999999999998,2.9000000000000017,4.200000000000002,2.5000000000000013,4.200000000000002,1.9000000000000008
39,5.299999999999998,2.9000000000000017,4.200000000000002,2.6000000000000014,4.200000000000002,1.9000000000000008
40,5.399999999999998,3.100000000000002,4.200000000000002,2.6000000000000014,4.300000000000002,1.9000000000000008
41,5.699999999999997,3.200000000000002,4.300000000000002,2.7000000000000015,4.300000000000002,1.9000000000000008
42,5.799999999999996,3.200000000000002,4.300000000000002,2.9000000000000017,4.300000000000002,1.9000000000000008
43,5.799999999999996,3.300000000000002,4.400000000000001,2.9000000000000017,4.7,2.000000000000001
44,5.899999999999996,3.500000000000002,4.400000000000001,2.9000000000000017,4.8,2.000000000000001
45,5.999999999999996,3.7000000000000024,4.400000000000001,2.9000000000000017,4.8999999999999995,2.000000000000001
46,6.099999999999995,3.9000000000000026,4.400000000000001,2.9000000000000017,4.999999999999999,2.000000000000001
47,6.199999999999995,3.9000000000000026,4.400000000000001,3.0000000000000018,4.999999999999999,2.000000000000001
48,6.2999999999999945,3.9000000000000026,4.400000000000001,3.100000000000002,4.999999999999999,2.000000000000001
49,6.399999999999994,4.100000000000002,4.400000000000001,3.100000000000002,5.099999999999999,2.000000000000001
