Line,le_1,i_1,null_1,null_2,SHIP_1,SHIP_2,lo_1,l_1,e_1,o_1,o_2,null_3,null_4,BOOK_1,BOOK_2,una_1,a_1,null_5,null_6,BALL_1,BALL_2,la_1,a_2,un_1,null_7,null_8,ANCHOR_1,ANCHOR_2,li_1,i_2,null_9,null_10,TOMATO_1,TOMATO_2,POTATO_1,POTATO_2,e_2,null_11,SHIP_3,e_3,null_12,null_13,ANCHOR_3,uno_1,CASTLE_1,CASTLE_2,null_14,KEY_1,KEY_2,null_15,SHELF_1,SHELF_2,MOUSE_1,MOUSE_2,SHELF_3,CASTLE_3,MOUSE_3,FROG_1,FROG_2,POTATO_3,null_16,null_17,null_18,FROG_3,FLOWER_1,FLOWER_2,BALL_3,KEY_3,null_19,null_20,BOOK_3,null_21,null_22,null_23,null_24,TOMATO_3,FLOWER_3,null_25,null_26,null_27,null_28,null_29,null_30
10,10.1,10.2,10.0,10.2,10.0,10.0,10.0,11.499999999999995,10.399999999999999,10.2,9.8,10.0,9.9,9.9,10.0,10.399999999999999,10.499999999999998,10.0,10.0,10.0,10.2,10.1,10.899999999999997,10.799999999999997,10.0,10.0,10.0,10.1,10.0,10.299999999999999,9.9,10.2,10.0,10.1,10.0,10.1,9.9,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10.1,10.2,10.0,10.2,10.0,10.0,10.0,11.599999999999994,10.399999999999999,10.299999999999999,9.9,10.0,9.9,10.0,10.0,10.399999999999999,10.499999999999998,10.0,10.0,10.0,10.2,10.1,10.899999999999997,10.999999999999996,10.0,10.0,10.0,10.1,10.0,10.299999999999999,9.9,10.299999999999999,10.0,10.1,10.0,10.1,9.9,10.0,10.0,9.9,10.0,10.0,10.0,10.1,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10.1,10.2,10.0,10.2,10.0,10.0,10.0,11.699999999999994,10.399999999999999,10.399999999999999,9.9,9.9,9.9,9.9,10.0,10.299999999999999,10.499999999999998,10.0,10.0,10.0,10.2,10.1,10.899999999999997,11.199999999999996,10.0,10.0,10.0,10.1,10.0,10.299999999999999,9.9,10.299999999999999,10.0,10.1,10.0,10.1,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.1,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10.2,10.299999999999999,10.0,10.2,10.0,10.1,10.0,11.999999999999993,10.599999999999998,10.499999999999998,9.9,9.9,9.9,9.9,10.0,10.299999999999999,10.499999999999998,10.0,10.0,10.0,10.2,10.1,10.999999999999996,11.199999999999996,10.0,10.0,10.0,10.1,10.0,10.299999999999999,9.9,10.299999999999999,10.0,10.1,10.0,10.1,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.1,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10.2,10.299999999999999,10.0,10.2,10.0,10.1,10.0,12.099999999999993,10.599999999999998,10.499999999999998,9.9,9.9,9.9,9.9,10.0,10.299999999999999,10.499999999999998,10.0,10.0,10.0,10.2,10.1,11.099999999999996,11.299999999999995,10.0,10.0,10.0,10.1,10.0,10.299999999999999,9.8,10.299999999999999,10.0,10.1,10.0,10.1,9.700000000000001,10.0,10.0,9.9,10.0,10.0,10.0,10.1,10.0,9.9,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10.2,10.299999999999999,10.0,10.2,10.0,10.1,10.0,12.199999999999992,10.599999999999998,10.599999999999998,9.9,9.9,9.9,9.9,10.0,10.299999999999999,10.499999999999998,10.0,10.0,10.0,10.2,10.1,11.099999999999996,11.499999999999995,10.0,10.0,10.0,10.1,10.0,10.299999999999999,9.8,10.399999999999999,10.0,10.1,10.0,10.1,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.2,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10.2,10.399999999999999,10.0,10.2,10.0,10.1,10.0,12.499999999999991,10.599999999999998,10.699999999999998,9.9,9.9,9.9,9.9,10.0,10.299999999999999,10.499999999999998,10.0,10.0,10.0,10.2,10.1,11.199999999999996,11.499999999999995,10.0,10.0,10.0,10.1,10.1,10.499999999999998,9.8,10.399999999999999,10.0,10.1,10.0,10.1,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.2,10.0,9.9,10.0,9.9,10.0,10.1,10.0,10.1,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10.2,10.399999999999999,10.0,10.2,10.0,10.1,10.0,12.59999999999999,10.599999999999998,10.699999999999998,9.9,9.9,9.9,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,10.0,10.2,10.1,11.299999999999995,11.699999999999994,10.0,10.0,10.0,10.1,10.1,10.499999999999998,9.700000000000001,10.399999999999999,10.0,10.1,9.9,10.1,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.1,10.0,9.9,10.0,9.9,10.0,10.1,10.0,10.1,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10.2,10.399999999999999,10.0,10.2,10.0,10.1,10.0,12.79999999999999,10.599999999999998,10.799999999999997,9.9,9.9,9.9,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,10.0,10.2,10.1,11.399999999999995,11.699999999999994,10.0,10.0,10.0,10.1,10.1,10.699999999999998,9.700000000000001,10.399999999999999,10.0,10.1,9.9,10.1,9.8,10.0,10.0,9.8,10.0,10.0,10.0,10.1,10.0,9.9,10.0,9.9,10.0,10.1,9.9,10.1,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10.2,10.399999999999999,10.0,10.2,10.0,10.1,10.0,13.199999999999989,10.699999999999998,11.099999999999996,9.8,9.9,9.8,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,10.0,10.2,10.0,11.399999999999995,11.799999999999994,10.0,10.0,10.0,10.1,10.1,10.799999999999997,9.700000000000001,10.399999999999999,10.0,10.1,9.9,10.1,9.8,10.0,10.0,9.8,10.0,10.0,10.0,10.1,10.0,9.9,10.0,9.9,10.0,10.1,9.9,10.0,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10.2,10.399999999999999,10.0,10.2,10.0,10.1,10.0,13.299999999999988,10.699999999999998,11.099999999999996,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,10.0,10.2,10.0,11.499999999999995,11.899999999999993,10.0,10.0,10.0,10.1,10.1,10.799999999999997,9.600000000000001,10.399999999999999,10.0,10.1,9.9,10.1,9.8,10.0,10.0,9.8,10.0,10.0,10.0,10.1,10.0,9.9,10.0,9.8,10.0,10.1,9.9,10.0,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10.2,10.499999999999998,10.0,10.2,10.0,10.1,10.0,13.599999999999987,10.699999999999998,11.199999999999996,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,10.0,10.2,10.0,11.599999999999994,11.899999999999993,10.1,10.0,10.0,10.1,10.2,10.999999999999996,9.600000000000001,10.399999999999999,10.0,10.1,9.9,10.1,9.8,10.0,10.0,9.8,10.0,10.0,10.0,10.1,10.0,9.9,10.0,9.8,10.0,10.1,9.9,10.0,10.0,10.1,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10.2,10.499999999999998,10.0,10.2,10.0,10.1,10.0,13.899999999999986,10.799999999999997,11.499999999999995,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,10.0,10.2,10.0,11.599999999999994,11.999999999999993,10.1,10.0,10.0,10.1,10.2,11.099999999999996,9.600000000000001,10.399999999999999,10.0,10.1,9.9,10.1,9.700000000000001,10.0,10.0,9.8,9.9,10.0,10.0,10.1,10.0,9.9,10.0,9.8,10.0,10.1,9.9,10.0,10.0,10.0,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10.2,10.499999999999998,10.0,10.2,10.0,10.1,10.0,14.199999999999985,10.899999999999997,11.399999999999995,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,9.9,10.2,10.0,11.899999999999993,12.099999999999993,10.1,10.0,10.0,10.1,10.2,11.199999999999996,9.600000000000001,10.399999999999999,10.0,10.1,9.9,10.1,9.600000000000001,10.0,10.0,9.8,9.9,10.0,10.0,10.1,10.0,9.9,10.0,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10.2,10.499999999999998,10.0,10.2,10.0,10.1,10.0,14.599999999999984,10.999999999999996,11.399999999999995,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.499999999999998,10.0,10.0,9.9,10.2,10.1,12.199999999999992,12.199999999999992,10.1,10.0,10.0,10.1,10.2,11.299999999999995,9.700000000000001,10.399999999999999,10.0,10.1,9.9,10.1,9.600000000000001,10.0,10.0,9.8,9.9,10.0,10.0,10.1,10.0,9.9,10.0,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,
25,10.2,10.499999999999998,10.0,10.2,10.0,10.1,10.0,14.999999999999982,11.299999999999995,11.499999999999995,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.499999999999998,10.0,10.0,9.9,10.2,10.1,12.299999999999992,12.199999999999992,10.1,10.0,10.0,10.1,10.2,11.299999999999995,9.700000000000001,10.399999999999999,10.0,10.1,9.9,10.2,9.600000000000001,10.0,10.0,9.9,9.9,10.2,10.0,10.1,10.0,9.9,10.0,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,10.0,10.1,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,
26,10.2,10.399999999999999,10.0,10.2,10.0,10.1,10.0,15.199999999999982,11.499999999999995,11.599999999999994,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.499999999999998,10.0,10.0,9.9,10.2,10.1,12.399999999999991,12.199999999999992,10.0,10.0,10.0,10.1,10.2,11.299999999999995,9.700000000000001,10.399999999999999,10.0,10.1,9.9,10.2,9.600000000000001,10.0,10.0,9.9,9.9,10.2,10.0,10.1,10.0,9.9,10.0,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
27,10.2,10.399999999999999,10.0,10.2,10.0,10.1,9.9,15.59999999999998,11.599999999999994,11.899999999999993,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,9.9,10.2,10.1,12.399999999999991,12.299999999999992,10.0,10.0,10.0,10.1,10.2,11.399999999999995,9.600000000000001,10.399999999999999,10.0,10.1,9.9,10.2,9.600000000000001,10.0,10.0,9.9,9.9,10.2,10.0,10.1,10.0,9.9,10.0,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,
28,10.2,10.299999999999999,10.0,10.2,10.0,10.1,9.9,15.79999999999998,11.799999999999994,11.999999999999993,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,9.9,10.2,10.1,12.499999999999991,12.299999999999992,10.0,10.0,10.0,10.1,10.2,11.399999999999995,9.600000000000001,10.399999999999999,10.0,10.1,9.9,10.2,9.600000000000001,9.9,10.0,9.9,9.9,10.2,10.0,10.1,10.0,9.9,10.0,9.8,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9,,,,,,,,,,,,,,,,
29,10.1,10.299999999999999,10.0,10.2,10.0,10.1,9.9,16.09999999999998,11.999999999999993,12.099999999999993,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,9.9,10.2,10.1,12.59999999999999,12.299999999999992,10.0,10.0,10.0,10.1,10.2,11.399999999999995,9.600000000000001,10.399999999999999,10.0,10.1,9.9,10.2,9.600000000000001,9.9,10.0,9.8,9.9,10.2,10.0,10.1,10.0,9.9,10.0,9.700000000000001,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9,10.0,,,,,,,,,,,,,,,
30,10.1,10.2,10.0,10.2,10.0,10.1,9.9,16.399999999999984,12.199999999999992,12.199999999999992,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,9.8,10.2,10.1,12.69999999999999,12.299999999999992,9.9,10.0,10.0,10.1,10.1,11.399999999999995,9.600000000000001,10.399999999999999,10.0,10.1,9.9,10.2,9.600000000000001,9.9,10.0,9.8,9.9,10.2,10.0,10.1,10.0,9.9,10.0,9.700000000000001,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9,10.0,,,,,,,,,,,,,,,
31,10.1,10.2,10.0,10.2,10.1,10.1,9.9,16.89999999999999,12.299999999999992,12.199999999999992,9.700000000000001,9.9,9.8,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,9.8,10.2,10.1,13.099999999999989,12.399999999999991,9.9,10.0,10.0,10.1,10.1,11.499999999999995,9.600000000000001,10.399999999999999,10.0,10.1,9.9,10.2,9.700000000000001,10.1,10.0,9.8,9.9,10.2,10.0,10.1,10.0,9.9,10.0,9.700000000000001,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,10.0,10.0,10.0,10.0,10.0,10.2,10.0,9.9,10.0,9.9,10.0,10.0,10.0,,,,,,,,,,,,,
32,10.1,10.299999999999999,10.0,10.2,10.1,10.1,9.9,17.299999999999997,12.299999999999992,12.299999999999992,9.700000000000001,9.9,9.8,9.9,10.1,10.299999999999999,10.399999999999999,10.0,10.0,9.8,10.2,10.1,13.199999999999989,12.399999999999991,9.9,10.0,10.0,10.1,10.1,11.799999999999994,9.600000000000001,10.599999999999998,10.0,10.1,9.9,10.2,9.700000000000001,10.1,10.0,9.8,9.9,10.2,10.0,10.1,10.0,9.9,10.0,9.700000000000001,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,10.0,10.0,10.0,10.0,10.0,10.2,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,
33,10.1,10.299999999999999,10.0,10.2,10.1,10.1,9.9,17.800000000000004,12.399999999999991,12.69999999999999,9.8,9.9,10.0,9.9,10.1,10.299999999999999,10.399999999999999,10.0,10.0,9.8,10.2,10.1,13.199999999999989,12.499999999999991,9.9,10.0,10.0,10.1,10.1,11.899999999999993,9.600000000000001,10.599999999999998,10.0,10.1,9.9,10.2,9.700000000000001,10.1,10.0,9.8,9.9,10.2,10.0,10.1,10.0,10.0,10.0,9.700000000000001,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.1,10.0,10.0,10.0,10.0,10.0,10.0,10.2,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,10.0,10.0,,,,,,,,
34,10.1,10.299999999999999,10.0,10.2,10.1,10.1,9.9,17.900000000000006,12.399999999999991,12.69999999999999,9.8,9.9,10.0,9.9,10.1,10.299999999999999,10.399999999999999,10.0,10.0,9.8,10.2,10.1,13.199999999999989,12.59999999999999,9.9,10.0,10.0,10.1,10.1,11.899999999999993,9.600000000000001,10.599999999999998,10.0,10.1,9.9,10.2,9.600000000000001,10.1,10.0,9.8,9.9,10.2,10.0,10.1,10.0,10.0,10.0,9.700000000000001,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.2,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,9.9,10.0,,,,,,,,
35,10.1,10.299999999999999,10.0,10.2,10.1,10.0,9.9,18.10000000000001,12.499999999999991,12.79999999999999,9.8,9.9,10.0,9.9,10.1,10.299999999999999,10.399999999999999,10.0,10.0,9.8,10.2,10.1,13.299999999999988,12.59999999999999,9.9,10.0,10.0,10.1,10.1,11.899999999999993,9.600000000000001,10.599999999999998,10.0,10.1,9.9,10.2,9.600000000000001,10.1,10.0,9.700000000000001,9.9,10.2,10.0,10.1,10.0,10.0,10.0,9.700000000000001,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.2,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,9.9,10.0,,,,,,,,
36,10.1,10.299999999999999,10.0,10.2,10.1,10.0,9.9,18.400000000000013,12.59999999999999,13.099999999999989,9.8,9.9,10.0,9.9,10.1,10.299999999999999,10.299999999999999,10.0,10.0,9.8,10.2,10.1,13.199999999999989,12.69999999999999,9.9,10.0,10.0,10.1,10.1,11.999999999999993,9.600000000000001,10.599999999999998,9.9,10.1,9.9,10.2,9.600000000000001,10.1,10.0,9.700000000000001,9.9,10.2,10.0,10.1,10.0,10.0,10.0,9.700000000000001,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,9.9,10.2,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,9.9,10.0,10.0,,,,,,,
37,10.1,10.2,10.0,10.2,10.1,10.0,9.9,18.600000000000016,12.499999999999991,13.199999999999989,9.8,9.9,10.0,9.9,10.1,10.299999999999999,10.299999999999999,10.0,10.0,9.8,10.2,10.1,13.299999999999988,12.69999999999999,9.9,10.0,10.0,10.1,10.1,12.199999999999992,9.600000000000001,10.599999999999998,9.9,10.1,9.9,10.2,9.600000000000001,10.1,10.0,9.700000000000001,9.9,10.2,10.0,10.1,10.0,10.0,9.9,9.700000000000001,10.0,10.0,9.9,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,9.9,9.9,10.2,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,9.9,10.0,10.0,,,,,,,
38,10.1,10.299999999999999,10.0,10.2,10.1,10.0,9.9,18.90000000000002,12.499999999999991,13.299999999999988,9.8,9.9,10.0,9.9,10.1,10.299999999999999,10.299999999999999,10.0,10.0,9.8,10.2,10.1,13.399999999999988,12.69999999999999,9.9,10.0,10.0,10.1,10.2,12.399999999999991,9.600000000000001,10.699999999999998,9.9,10.1,9.9,10.2,9.600000000000001,10.1,10.0,9.700000000000001,9.9,10.2,10.0,10.1,10.0,10.0,9.9,9.700000000000001,10.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,9.9,9.9,10.2,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,9.9,10.0,10.0,,,,,,,
39,10.1,10.299999999999999,10.0,10.2,10.1,10.0,9.9,19.00000000000002,12.499999999999991,13.399999999999988,9.700000000000001,9.8,10.0,9.9,10.1,10.299999999999999,10.299999999999999,10.0,10.0,9.8,10.2,10.1,13.399999999999988,12.79999999999999,9.9,10.0,10.0,10.1,10.2,12.399999999999991,9.600000000000001,10.699999999999998,9.9,10.1,9.9,10.2,9.600000000000001,10.1,10.0,9.700000000000001,9.9,10.2,10.0,10.1,10.0,10.0,9.9,9.700000000000001,10.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.9,10.0,10.0,10.0,9.9,9.9,10.2,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,9.9,10.0,10.0,,,,,,,
40,10.1,10.299999999999999,10.0,10.2,10.1,10.0,9.9,19.50000000000003,12.59999999999999,13.399999999999988,9.700000000000001,9.8,10.0,9.9,10.1,10.299999999999999,10.399999999999999,10.0,10.0,9.9,10.2,10.1,13.799999999999986,12.89999999999999,9.9,10.0,10.0,10.1,10.2,12.499999999999991,9.600000000000001,10.699999999999998,9.9,10.1,9.9,10.2,9.600000000000001,10.1,10.0,9.700000000000001,9.9,10.2,10.0,10.1,10.0,10.0,9.9,9.700000000000001,10.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.9,10.0,10.0,10.0,10.2,10.0,10.399999999999999,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,9.9,10.0,10.0,,,,,,,
41,10.1,10.299999999999999,10.0,10.2,10.1,10.0,9.9,19.70000000000003,12.59999999999999,13.499999999999988,9.700000000000001,9.8,10.0,9.9,10.1,10.299999999999999,10.399999999999999,10.0,10.0,9.9,10.2,10.1,13.899999999999986,12.89999999999999,9.9,9.9,10.0,10.1,10.2,12.69999999999999,9.600000000000001,10.699999999999998,9.9,10.1,9.9,10.2,9.600000000000001,10.1,10.0,9.600000000000001,9.9,10.2,10.0,10.1,10.0,10.0,9.9,9.700000000000001,10.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.8,10.0,10.0,10.0,10.2,10.0,10.399999999999999,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,9.9,10.0,10.0,,,,,,,
42,10.1,10.299999999999999,10.0,10.2,10.1,10.0,10.0,20.100000000000037,12.69999999999999,13.799999999999986,9.8,9.8,10.0,9.9,10.1,10.299999999999999,10.399999999999999,10.0,10.0,9.9,10.2,10.1,13.899999999999986,12.99999999999999,9.9,9.9,10.0,10.1,10.2,12.79999999999999,9.600000000000001,10.699999999999998,9.9,10.1,9.9,10.2,9.600000000000001,10.1,10.0,9.600000000000001,9.9,10.2,10.0,10.1,10.1,10.0,9.9,9.700000000000001,10.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.8,10.0,10.0,10.0,10.2,10.0,10.399999999999999,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,9.9,10.0,10.0,,,,,,,
43,10.1,10.299999999999999,10.0,10.2,10.1,10.0,10.0,20.500000000000043,12.99999999999999,13.899999999999986,9.8,9.8,10.0,9.9,10.1,10.299999999999999,10.399999999999999,10.0,10.0,9.9,10.2,10.1,13.999999999999986,12.99999999999999,9.9,9.9,10.0,10.1,10.2,12.79999999999999,9.600000000000001,10.699999999999998,9.9,10.1,9.9,10.2,9.600000000000001,10.1,10.0,9.700000000000001,9.9,10.399999999999999,10.0,10.1,10.1,10.0,9.9,9.700000000000001,10.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.8,10.0,10.1,10.0,10.299999999999999,10.1,10.599999999999998,10.0,9.9,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.2,9.9,10.0,10.0,,,,,,,
