Line,set(),{'le_1'},{'e_1'},{'o_1'},{'una_1'},{'a_2'},{'i_2'},"{'a_2', 'e_1'}","{'i_2', 'o_1'}"
40,10.299999999999999,0,13.499999999999988,11.099999999999996,0,12.199999999999992,11.199999999999996,10.599999999999998,10.2
41,10.299999999999999,0,13.499999999999988,11.099999999999996,0,12.199999999999992,11.299999999999995,10.599999999999998,10.2
42,10.399999999999999,0,13.599999999999987,11.199999999999996,0,12.199999999999992,11.299999999999995,10.599999999999998,10.2
43,10.399999999999999,0,14.199999999999985,11.199999999999996,0,12.199999999999992,11.299999999999995,10.799999999999997,10.2
44,10.399999999999999,0,14.199999999999985,11.199999999999996,0,12.199999999999992,11.299999999999995,10.799999999999997,10.599999999999998
45,10.399999999999999,0,14.299999999999985,11.299999999999995,0,12.199999999999992,11.299999999999995,10.799999999999997,10.599999999999998
46,10.399999999999999,0,14.299999999999985,11.299999999999995,0,12.199999999999992,11.399999999999995,10.799999999999997,10.599999999999998
47,10.399999999999999,0,14.599999999999984,11.299999999999995,0,12.199999999999992,11.399999999999995,10.799999999999997,10.599999999999998
48,10.399999999999999,0,14.699999999999983,11.699999999999994,0,12.199999999999992,11.399999999999995,10.799999999999997,10.699999999999998
49,10.399999999999999,0,14.799999999999983,11.799999999999994,0,12.199999999999992,11.399999999999995,10.799999999999997,10.699999999999998
50,10.399999999999999,0,14.899999999999983,11.899999999999993,0,12.199999999999992,11.399999999999995,10.799999999999997,10.699999999999998
51,10.399999999999999,0,14.899999999999983,11.899999999999993,0,12.399999999999991,11.399999999999995,10.799999999999997,10.699999999999998
52,10.399999999999999,0,14.899999999999983,11.899999999999993,0,12.399999999999991,11.499999999999995,10.799999999999997,10.699999999999998
53,10.399999999999999,0,15.199999999999982,11.899999999999993,0,12.399999999999991,11.499999999999995,10.799999999999997,10.699999999999998
54,10.399999999999999,0,15.299999999999981,11.899999999999993,0,12.59999999999999,11.499999999999995,10.799999999999997,10.699999999999998
55,10.399999999999999,0,15.39999999999998,11.899999999999993,0,12.79999999999999,11.499999999999995,10.799999999999997,10.699999999999998
56,10.399999999999999,0,15.69999999999998,11.899999999999993,0,12.79999999999999,11.499999999999995,10.799999999999997,10.699999999999998
57,10.399999999999999,0,15.69999999999998,11.999999999999993,0,12.79999999999999,11.499999999999995,10.799999999999997,10.699999999999998
58,10.399999999999999,0,15.69999999999998,11.999999999999993,0,13.299999999999988,11.499999999999995,10.999999999999996,10.699999999999998
59,10.399999999999999,0,15.69999999999998,12.099999999999993,0,13.299999999999988,11.499999999999995,10.999999999999996,10.699999999999998
60,10.399999999999999,0,15.69999999999998,12.099999999999993,0,13.499999999999988,11.499999999999995,10.999999999999996,10.699999999999998
