delete?,ROOT,ROOT+DIM,unique,UPPER,Italian lemma,Italian stem form,singular affix,pl affix,class,grammatical gender,animate?,feminine?
,young_shepherd,young_shepherd,pastorellomasc,YOUNG_SHEPHERD,pastorello,pastorell,o,,II,masc,ANIM,-FEM
,young_shepherd,young_shepherd,pastorellofem,YOUNG_SHEPHERD,pastorello,pastorell,o,,,fem,ANIM,+FEM
,,,patatafem,,patata,patat,a,,I,fem,,
,skating,skating,pattinaggiomasc,SKATING,pattinaggio,pattinaggi,o,,II,masc,,
,,,pavimentomasc,,pavimento,paviment,o,,II,masc,,
,,,pazienzafem,,pazienza,pazienz,a,,I,fem,,
,SHEEP?,SHEEP?,pecorafem,SHEEP?,pecora,pecor,a,,I,fem,,
,,.DIM,pecora-DIMfem,.DIM,pecora-DIM,pecorell,TBD,,,fem,,
,kick,kick,pedatafem,KICK,pedata,pedat,a,,I,fem,,
,,,pellemasc,,pelle,pell,e,,III,masc,,
,fur,fur,pellicciafem,FUR,pelliccia,pellicci,a,,I,fem,,
,,,pelomasc,,pelo,pel,o,,II,masc,,
,feather,feather,pennafem,FEATHER,penna,penn,a,,I,fem,,
,felt_tip_pen,felt_tip_pen,pennarellomasc,FELT_TIP_PEN,pennarello,pennarell,o,,II,masc,,
,brush,brush,pennellomasc,BRUSH,pennello,pennell,o,,II,masc,,
,pot,pot,pentolafem,POT,pentola,pentol,a,,I,fem,,
,,,perafem,,pera,per,a,,I,fem,,
,PERFECT,PERFECT,,,perfetto,perfett,,,,,,
,pearl,pearl.DIM,perla-DIMfem,PEARL.DIM,perla-DIM,perlin,TBD,,,fem,,
,raspberry,raspberry,pernacchiafem,RASPBERRY,pernacchia,pernacchi,a,,I,fem,,
,FISH,FISH,pescemasc,FISH,pesce,pesc,e,,III,masc,?,
,,,pesciolinomasc,,pesciolino,pesciolin,o,,II,masc,,
,,,pesomasc,,peso,pes,o,,II,masc,,
,COMB?,COMB?,pettinemasc,COMB?,pettine,pettin,e,,III,masc,,
,piece,piece,pezzomasc,PIECE,pezzo,pezz,o,,II,masc,,
,piece,piece.DIM,pezzo-DIMmasc,PIECE.DIM,pezzo-DIM,pezzett,TBD,,,masc,,
,piece,piece.DIM.DIM,pezzo-DIM-DIMmasc,PIECE.DIM.DIM,pezzo-DIM-DIM,pezzettin,TBD,,,masc,,
,planet,planet,pianetamasc,PLANET,pianeta,pianeta,-ø,,VI,masc,,
,PIANO,PIANO,pianomasc,PIANO,piano,pian,o,,II,masc,,
,PIANOFORTE,PIANOFORTE,pianofortemasc,PIANOFORTE,pianoforte,pianofort,e,,III,masc,,
,,.DIM,pianta-DIMfem,.DIM,pianta-DIM,piantin,TBD,,,fem,,
,woodpecker,woodpecker,picchiomasc,WOODPECKER,picchio,picchi,o,,II,masc,ANIM,
,SMALL,SMALL,,,piccolo,piccol,,,,,,
,LITTLEONE,LITTLEONE,piccolomasc,LITTLEONE,piccolo,piccol,o,,II,masc,?,
,SMALL,SMALL.DIM,,,piccolo-DIM,piccolin,,,,,,
,LITTLEONE,LITTLEONE.DIM,piccolo-DIMmasc,LITTLEONE.DIM,piccolo-DIM,piccolett,TBD,,,masc,?,
,,,piedemasc,,piede,piedon,e,,III,masc,,
,,,piedemasc,,piede,pied,e,,III,masc,,
,,,piedemasc,,piede,piedacci,e,,III,masc,,
,,.DIM,piede-DIMmasc,.DIM,piede-DIM,piedin,TBD,,,masc,,
,fold,fold,piegafem,FOLD,piega,pieg,a,,I,fem,,
,fold,fold,piegafem,FOLD,piega,piegh,a,,I,fem,,
,FULL,FULL,,,pieno,pien,,,,,,
,,,pietrafem,,pietra,pietr,a,,I,fem,,
,pipe,pipe,pifferomasc,PIPE,piffero,pi(ffero,o,,II,masc,,
,pipe,pipe,pifferomasc,PIPE,piffero,piffer,o,,II,masc,,
,pyjamas,pyjamas,pigiamamasc,PYJAMAS,pigiama,pigiama,-ø,,VI,masc,,
,pyjamas,pyjamas.DIM,pigiama-DIMmasc,PYJAMAS.DIM,pigiama-DIM,pigiamin,TBD,,,masc,,
,battery,battery,pilafem,BATTERY,pila,pil,a,,I,fem,,
,,,pinguinomasc,,pinguino,pinguin,o,,II,masc,,
,fin,fin,pinnafem,FIN,pinna,pinn,a,,I,fem,,
,rain,rain,pioggiafem,RAIN,pioggia,pioggi,a,,I,fem,,
,rain,rain.DIM,pioggia-DIMfem,RAIN.DIM,pioggia-DIM,pioggerell,TBD,,,fem,,
,peepee,peepee,pipìmasc,PEEPEE,pipì,pipì,-ø,,VI,masc,,
,bat,bat,pipistrellomasc,BAT,pipistrello,pipistrell,o,,II,masc,?,
,pyramid,pyramid,piramidefem,PYRAMID,piramide,piramide,-ø,,VI,fem,,
,swimming_pool,swimming_pool,piscinafem,SWIMMING_POOL,piscina,piscin,a,,I,fem,,
,swimming_pool,swimming_pool.DIM,piscina-DIMfem,SWIMMING_POOL.DIM,piscina-DIM,piscinett,TBD,,,fem,,
,trail,trail,pistafem,TRAIL,pista,pista,-ø,,VI,fem,,
,pistol,pistol,pistolafem,PISTOL,pistola,pistol,a,,I,fem,,
,more,more,,,più,più,,,,,,
,pinch,pinch,pizzicottomasc,PINCH,pizzicotto,pizzicott,o,,II,masc,,
,plural,plural,pluralemasc,PLURAL,plurale,plural,e,,III,masc,,
,little,little,pochinomasc,LITTLE,pochino,pochin,o,,II,masc,,
,buzzard,buzzard,poianafem,BUZZARD,poiana,poian,a,,I,fem,ANIM,
,poliomyelitis,poliomyelitis,poliomelitefem,POLIOMYELITIS,poliomelite,poliomelite,-ø,,VI,fem,,
,POLICE,POLICE,poliziafem,POLICE,polizia,polizi,a,,I,fem,ANIM,?
,,,pollomasc,,pollo,poll,o,,II,masc,,
,wrist,wrist,polsomasc,WRIST,polso,pols,o,,II,masc,,
,salve,salve,pomatafem,SALVE,pomata,pomat,a,,I,fem,,
,salve,salve.DIM,pomata-DIMfem,SALVE.DIM,pomata-DIM,pomatin,TBD,,,fem,,
,,,pomeriggiomasc,,pomeriggio,pomeriggi,o,,II,masc,,
,TOMATO,TOMATO,pomodoromasc,TOMATO,pomodoro,pomodor,o,,II,masc,,
,,,pompafem,,pompa,pomp,a,,I,fem,,
,,.DIM,pompa-DIMfem,.DIM,pompa-DIM,pompett,TBD,,,fem,,
,PIGLET,PIGLET.DIM,porcello-DIMmasc,PIGLET.DIM,porcello-DIM,porcellin,TBD,,,masc,ANIM,
,,,portafem,,porta,port,a,,I,fem,,
,tape_holder,tape_holder,portacassettamasc,TAPE_HOLDER,portacassetta,portacassetta,-ø,,VI,masc,,
,door,door,portierafem,DOOR,portiera,portier,a,,I,fem,,
,,,portieremasc,,portiere,portier,e,,III,masc,,
,position,position,posizionefem,POSITION,posizione,posizione,-ø,,VI,fem,,
,back,back,,,posteriore,posterior,,,,,,
,,,postomasc,,posto,post,o,,II,masc,,
,POOR,POOR,,,povero,pover,,,,,,
,POORONE,POORONE,poveromasc,POORONE,povero,pover,o,,II,masc,,
,POOR,POOR.DIM,,,povero-DIM,poverin,,,,,,
,POORONE,POORONE.DIM,povero-DIMmasc,POORONE.DIM,povero-DIM,poverin,TBD,,,masc,,
,,,pratomasc,,prato,prat,o,,II,masc,,
,precedence,precedence,precedenzafem,PRECEDENCE,precedenza,pre(cedenza,a,,I,fem,,
,preference,preference,preferenzafem,PREFERENCE,preferenza,preferenz,a,,I,fem,,
,,,premiomasc,,premio,prem,o,,II,masc,,
,,,premiomasc,,premio,premi,o,,II,masc,,
,PRECIOUS,PRECIOUS,,,prezioso,prezios,,,,,,
,SPRING,SPRING,primaverafem,SPRING,primavera,primaver,a,,I,fem,,
,prince,prince,principemasc,PRINCE,principe,princip,e,,III,masc,ANIM,-FEM
,princess,princess,principessafem,PRINCESS,principessa,principess,a,,I,fem,ANIM,+FEM
,problem,problem,problemamasc,PROBLEM,problema,problema,-ø,,VI,masc,,
,,,proboscidemasc,,proboscide,proboscid,e,,III,masc,,
,profile,profile,profilomasc,PROFILE,profilo,profil,o,,II,masc,,
,ham,ham,prosciuttomasc,HAM,prosciutto,prosciutt,o,,II,masc,,
,NEAR,NEAR,,,prossimo,prossim,,,,,,
,,,provafem,,prova,prov,a,,I,fem,,
,publicity,publicity,pubblicitàfem,PUBLICITY,pubblicità,pubblicità,-ø,,VI,fem,,
,blu,blu,puffomasc,BLU,puffo,puff,o,,II,masc,,
,,,pugnomasc,,pugno,pugn,o,,II,masc,,
,,,pulcinomasc,,pulcino,pulcin,o,,II,masc,,
,colt,colt,puledromasc,COLT,puledro,puledr,o,,II,masc,ANIM,
,CLEAN,CLEAN,,,pulito,pulit,,,,,,
,point,point,puntafem,POINT,punta,puntaner,a,,I,fem,,
,point,point,puntafem,POINT,punta,punt,a,,I,fem,,
,dot,dot.DIM,punto-DIMmasc,DOT.DIM,punto-DIM,puntin,TBD,,,masc,,
,pupil,pupil,pupillafem,PUPIL,pupilla,pupill,a,,I,fem,?,
,jigsaw,jigsaw,puzzlemasc,JIGSAW,puzzle,puzzl,e,,III,masc,,
,polecat,polecat,puzzolafem,POLECAT,puzzola,puzzol,a,,I,fem,ANIM,
,polecat,polecat.DIM,puzzola-DIMfem,POLECAT.DIM,puzzola-DIM,puzzolin,TBD,,,fem,ANIM,
,copybook,copybook,quadernomasc,COPYBOOK,quaderno,quadern,o,,II,masc,,
,clover,clover,quadrifogliomasc,CLOVER,quadrifoglio,quadrifogli,o,,II,masc,,
,,.DIM,quadro-DIMmasc,.DIM,quadro-DIM,quadrett,TBD,,,masc,,
,racket,racket,racchettafem,RACKET,racchetta,racchett,a,,I,fem,,
,,,raffreddoremasc,,raffreddore,raffreddor,e,,III,masc,,
,CHILD,CHILD,ragazzomasc,CHILD,ragazzo,ragazz,o,,II,masc,ANIM,-FEM
,CHILD,CHILD,ragazzofem,CHILD,ragazzo,ragazz,o,,,fem,ANIM,+FEM
,CHILD,CHILD.DIM,ragazzo-DIMfem,CHILD.DIM,ragazzo-DIM,ragazzin,TBD,,,fem,ANIM,+FEM
,,,ragnatelafem,,ragnatela,ragnatela>,a,,I,fem,,
,,,ragnomasc,,ragno,ragn,o,,II,masc,,
,,.DIM,ragno-DIMmasc,.DIM,ragno-DIM,ragnett,TBD,,,masc,,
,FROG,FROG,ranafem,FROG,rana,ran,a,,I,fem,ANIM,
,rake,rake,rastrellomasc,RAKE,rastrello,rastrell,o,,II,masc,,
,king,king,remasc,KING,re,r,e,,III,masc,ANIM,-FEM
,,,recintomasc,,recinto,recint,o,,II,masc,,
,GIFT,GIFT,regalomasc,GIFT,regalo,regal,o,,II,masc,,
,queen,queen,reginafem,QUEEN,regina,regin,a,,I,fem,ANIM,+FEM
,tape_recorder,tape_recorder,registratoremasc,TAPE_RECORDER,registratore,registrator,e,,III,masc,,
,tape_recorder,tape_recorder,registratoremasc,TAPE_RECORDER,registratore,registr(atore,e,,III,masc,,
,reindeer,reindeer,rennafem,REINDEER,renna,renn,a,,I,fem,ANIM,
,,.DIM,rete-DIMfem,.DIM,rete-DIM,retin,TBD,,,fem,,
,curly,curly,,,riccio,ricci,,,,,,
,hedgehog,hedgehog,ricciomasc,HEDGEHOG,riccio,ricci,o,,II,masc,ANIM,
,hedgehog,hedgehog,ricciomasc,HEDGEHOG,riccio,ricc,o,,II,masc,ANIM,
,line,line,rigafem,LINE,riga,righ,a,,I,fem,,
,line,line.DIM,riga-DIMfem,LINE.DIM,riga-DIM,righett,TBD,,,fem,,
,ruler,ruler,righellomasc,RULER,righello,righell,o,,II,masc,,
,run_up,run_up,rincorsafem,RUN_UP,rincorsa,rincors,a,,I,fem,,
,rhinoceros,rhinoceros,rinocerontemasc,RHINOCEROS,rinoceronte,rinoceront,e,,III,masc,ANIM,
,heating,heating,riscaldamentomasc,HEATING,riscaldamento,riscaldament,o,,II,masc,,
,,,rispostafem,,risposta,rispost,a,,I,fem,,
,,,robafem,,roba,rob,a,,I,fem,,
,swallow,swallow,rondinefem,SWALLOW,rondine,rondine,-ø,,VI,fem,,
,,,rosafem,,rosa,ros,a,,I,fem,,
,rose,rose,,,roso,ros,,,,,,
,toad,toad,rospomasc,TOAD,rospo,rosp,o,,II,masc,ANIM,
,red,red,,,rosso,ross,,,,,,
,ROUND,ROUND,,,rotondo,rotond,,,,,,
,BROKEN,BROKEN,,,rotto,rott,,,,,,
,,,rumoremasc,,rumore,rumor,e,,III,masc,,
,,,ruotafem,,ruota,ruot,a,,I,fem,,
,stream,stream,ruscellomasc,STREAM,ruscello,ruscell,o,,II,masc,,
,,,sabatomasc,,sabato,sabat,o,,II,masc,,
,,,sabbiafem,,sabbia,sabbi,a,,I,fem,,
,,.DIM,sacco-DIMmasc,.DIM,sacco-DIM,sacchett,TBD,,,masc,,
,,.DIM,sacco-DIM-DIMmasc,.DIM,sacco-DIM-DIM,sacchettin,TBD,,,masc,,
,,,salemasc,,sale,sal,e,,III,masc,,
,jumping,jumping,,,salterino,salterin,,,,,,
,,,saltomasc,,salto,salt,o,,II,masc,,
,,,salvagentemasc,,salvagente,salvagent,e,,III,masc,,
,,,sassomasc,,sasso,sass,o,,II,masc,,
,,,sbarrafem,,sbarra,sbarr,a,,I,fem,,
,slap,slap,sberlafem,SLAP,sberla,sberl,a,,I,fem,,
,,,scalafem,,scala,scal,a,,I,fem,,
,,.DIM,scala-DIMfem,.DIM,scala-DIM,scalett,TBD,,,fem,,
,climb,climb,scalatafem,CLIMB,scalata,scalat,a,,I,fem,,
,shoe,shoe,scarpafem,SHOE,scarpa,scarp,a,,I,fem,,
,shoe,shoe.DIM,scarpa-DIMfem,SHOE.DIM,scarpa-DIM,scarpett,TBD,,,fem,,
,shoe,shoe.DIM,scarpa-DIMfem,SHOE.DIM,scarpa-DIM,scarpin,TBD,,,fem,,
,shoe,shoe.DIM,scarpa-DIM-DIMfem,SHOE.DIM,scarpa-DIM-DIM,scarpettin,TBD,,,fem,,
,,,scatolafem,,scatola,scatol,a,,I,fem,,
,,.DIM,scatola-DIMfem,.DIM,scatola-DIM,scatolin,TBD,,,fem,,
,carton,carton,scatolonemasc,CARTON,scatolone,scatolon,e,,III,masc,,
,card,card,schedafem,CARD,scheda,sched,a,,I,fem,,
,joke,joke.DIM,scherzo-DIMmasc,JOKE.DIM,scherzo-DIM,scherzett,TBD,,,masc,,
,,,sciarpafem,,sciarpa,sciarp,a,,I,fem,,
,monkey,monkey,scimmiomasc,MONKEY,scimmio,scimmi,o,,II,masc,ANIM,?
,monkey,monkey,scimmiofem,MONKEY,scimmio,scimmi,o,,,fem,ANIM,?
,monkey,monkey.DIM,scimmio-DIMmasc,MONKEY.DIM,scimmio-DIM,scimmiott,TBD,,,masc,ANIM,?
,monkey,monkey.DIM,scimmio-DIMfem,MONKEY.DIM,scimmio-DIM,scimmiett,TBD,,,fem,ANIM,?
,,,scivolomasc,,scivolo,scivol,o,,II,masc,,
,,,scoiattolomasc,,scoiattolo,scoiattol,o,,II,masc,,
,,.DIM,scoiattolo-DIMmasc,.DIM,scoiattolo-DIM,scoiattolin,TBD,,,masc,,
,clash,clash,scontromasc,CLASH,scontro,scontr,o,,II,masc,,
,,.DIM,scopa-DIMfem,.DIM,scopa-DIM,scopett,TBD,,,fem,,
,scorpion,scorpion,scorpionemasc,SCORPION,scorpione,scorpion,e,,III,masc,ANIM,
,past,past,,,scorso,scors,,,,,,
,,,scrivaniafem,,scrivania,scrivani,a,,I,fem,,
,,,scuolafem,,scuola,scuol,a,,I,fem,,
,dark,dark,,,scuro,scur,,,,,,
,,,secchiellomasc,,secchiello,secchiell,o,,II,masc,,
,celery,celery,sedanomasc,CELERY,sedano,sedan,o,,II,masc,,
,,,sediafem,,sedia,sedi,a,,I,fem,,
,saw,saw,segafem,SAW,sega,seg,a,,I,fem,,
,seat,seat.DIM,seggio-DIMmasc,SEAT.DIM,seggio-DIM,seggiolin,TBD,,,masc,,
,chair,chair.DIM,seggiola-DIMfem,CHAIR.DIM,seggiola-DIM,seggiolin,TBD,,,fem,,
,saddle,saddle,sellafem,SADDLE,sella,sell,a,,I,fem,,
,seed,seed,sememasc,SEED,seme,sem,e,,III,masc,,
,seed,seed.DIM,seme-DIMmasc,SEED.DIM,seme-DIM,semin,TBD,,,masc,,
,semicircle,semicircle,semicerchiomasc,SEMICIRCLE,semicerchio,semicerchi,o,,II,masc,,
,sequence,sequence,sequenzafem,SEQUENCE,sequenza,sequenz,a,,I,fem,,
,,,serafem,,sera,ser,a,,I,fem,,
,sergeant,sergeant,sergentemasc,SERGEANT,sergente,sergent,e,,III,masc,ANIM,
,SERIOUS,SERIOUS,,,serio,seri,,,,,,
,,,settimanafem,,settimana,settiman,a,,I,fem,,
,background,background,sfondomasc,BACKGROUND,sfondo,sfond,o,,II,masc,,
,sir,sir,signoremasc,SIR,signore,signor,e,,III,masc,,
,sir,sir,signorefem,SIR,signore,signor,e,,III,fem,,
,hiccup,hiccup,singhiozzomasc,HICCUP,singhiozzo,singhiozz,o,,II,masc,,
,siren,siren,sirenafem,SIREN,sirena,siren,a,,I,fem,,
,,,sistemafem,,sistema,sistem,a,,I,fem,,
,forgetful,forgetful,,,smemorato,smemorat,,,,,,
,dandelion,dandelion,soffionemasc,DANDELION,soffione,soffion,e,,III,masc,,
,dandelion,dandelion,soffionemasc,DANDELION,soffione,<soffione,e,,III,masc,,
,,,soggiornomasc,,soggiorno,soggiorn,o,,II,masc,,
,soldier,soldier,soldatomasc,SOLDIER,soldato,soldat,o,,II,masc,ANIM,?
,soldier,soldier.DIM,soldato-DIMmasc,SOLDIER.DIM,soldato-DIM,soldatin,TBD,,,masc,ANIM,?
,,,soldomasc,,soldo,sold,o,,II,masc,,
,,.DIM,soldo-DIMmasc,.DIM,soldo-DIM,soldin,TBD,,,masc,,
,,,solemasc,,sole,sol,e,,III,masc,,
,tickle,tickle,solleticomasc,TICKLE,solletico,solletic,o,,II,masc,,
,LONE,LONE,,,solo,sol,,,,,,
,SISTER,SISTER.DIM,sorella-DIMfem,SISTER.DIM,sorella-DIM,sorellin,TBD,,,fem,ANIM,+FEM
,subway,subway,sottopassaggiomasc,SUBWAY,sottopassaggio,sottopassaggi,o,,II,masc,,
,subway,subway,sottopassaggiomasc,SUBWAY,sottopassaggio,sottopassagg,o,,II,masc,,
,sword,sword,spadafem,SWORD,spada,spad,a,,I,fem,,
,string,string,spagomasc,STRING,spago,spag,o,,II,masc,,
,string,string.DIM,spago-DIMmasc,STRING.DIM,spago-DIM,spaghett,TBD,,,masc,,
,wide_open,wide_open,,,spalancato,spalancat,,,,,,
,shoulder,shoulder,spallafem,SHOULDER,spalla,spall,a,,I,fem,,
,space,space,spaziomasc,SPACE,spazio,spazi,o,,II,masc,,
,,,specchiomasc,,specchio,specchi,o,,II,masc,,
,special,special,,,speciale,special,,,,,,
,kind,kind,speciefem,KIND,specie,specie,-ø,,VI,fem,,
,slice,slice,spicchiomasc,SLICE,spicchio,spicchi,o,,II,masc,,
,,,spinafem,,spina,spin,a,,I,fem,,
,edge,edge,spondafem,EDGE,sponda,spond,a,,I,fem,,
,shop,shop,sportellomasc,SHOP,sportello,sportell,o,,II,masc,,
,SPORTY,SPORTY,,,sportivo,sportiv,,,,,,
,season,season,stagionefem,SEASON,stagione,stagione,-ø,,VI,fem,,
,STAR,STAR,stellafem,STAR,stella,stell,a,,I,fem,,
,STAR,STAR.DIM,stella-DIMfem,STAR.DIM,stella-DIM,stellin,TBD,,,fem,,
,boot,boot,stivalemasc,BOOT,stivale,stival,e,,III,masc,,
,,,storiafem,,storia,stori,a,,I,fem,,
,rag,rag,stracciomasc,RAG,straccio,stracci,o,,II,masc,,
,STRANGE,STRANGE,,,strano,stran,,,,,,
,,,strumentomasc,,strumento,strument,o,,II,masc,,
,ostrich,ostrich,struzzomasc,OSTRICH,struzzo,struzz,o,,II,masc,ANIM,
,toothpick,toothpick,stuzzicadentimasc,TOOTHPICK,stuzzicadenti,stuzzicadenti,-ø,,VI,masc,,
,,,succomasc,,succo,succ,o,,II,masc,,
,sweat,sweat,sudoremasc,SWEAT,sudore,sudor,e,,III,masc,,
,,,suggerimentomasc,,suggerimento,suggeriment,o,,II,masc,,
,turkey,turkey,tacchinomasc,TURKEY,tacchino,tacchin,o,,II,masc,ANIM,
,mole,mole,talpafem,MOLE,talpa,talp,a,,I,fem,,
,mole,mole.DIM,talpa-DIMfem,MOLE.DIM,talpa-DIM,talpin,TBD,,,fem,,
,drum,drum,tamburomasc,DRUM,tamburo,tambur,o,,II,masc,,
,drum,drum.DIM,tamburo-DIMmasc,DRUM.DIM,tamburo-DIM,tamburell,TBD,,,masc,,
,,,tappetomasc,,tappeto,tappet,o,,II,masc,,
,,.DIM,tappeto-DIMmasc,.DIM,tappeto-DIM,tappetin,TBD,,,masc,,
,,,tappomasc,,tappo,tapp,o,,II,masc,,
,,,tartarugafem,,tartaruga,tartarug,a,,I,fem,,
,,.DIM,tartaruga-DIMfem,.DIM,tartaruga-DIM,tartarughin,TBD,,,fem,,
,pocket,pocket,tascafem,POCKET,tasca,tasc,a,,I,fem,,
,key,key,tastomasc,KEY,tasto,tast,o,,II,masc,,
,table,table,tavolafem,TABLE,tavola,tavol,a,,I,fem,,
,table,table,tavolomasc,TABLE,tavolo,tavol,o,,II,masc,,
,tea,tea,tèmasc,TEA,tè,tè,-ø,,VI,masc,,
,,,telecomandomasc,,telecomando,telecomand,o,,II,masc,,
,TELEPHONE,TELEPHONE,telefonomasc,TELEPHONE,telefono,telefon,o,,II,masc,,
,TELEVISION,TELEVISION,televisionefem,TELEVISION,televisione,televisione,-ø,,VI,fem,,
,pencil_sharpener,pencil_sharpener,temperamatitemasc,PENCIL_SHARPENER,temperamatite,temperamatit,e,,III,masc,,
,storm,storm,tempestafem,STORM,tempesta,tempest,a,,I,fem,,
,,,temporalemasc,,temporale,temporal,e,,III,masc,,
,tennis,tennis,tennismasc,TENNIS,tennis,tennis,-ø,,VI,masc,,
,radiator,radiator,termosifonemasc,RADIATOR,termosifone,termosifon,e,,III,masc,,
,ground,ground,terrenomasc,GROUND,terreno,terren,o,,II,masc,,
,skull,skull,teschiomasc,SKULL,teschio,teschi,o,,II,masc,,
,,,testafem,,testa,teston,a,,I,fem,,
,,,testafem,,testa,test,a,,I,fem,,
,tetanus,tetanus,tetanomasc,TETANUS,tetano,tetan,o,,II,masc,,
,roof,roof,tettomasc,ROOF,tetto,tett,o,,II,masc,,
,TIGER,TIGER,tigremasc,TIGER,tigre,tigr,e,,III,masc,ANIM,
,,,tipomasc,,tipo,tip,o,,II,masc,,
,tv,tv,tivùmasc,TV,tivù,tivù,-ø,,VI,masc,,
,CIRCULAR,CIRCULAR,,,tondo,tond,,,,,,
,mouse,mouse,topomasc,MOUSE,topo,top,o,,II,masc,ANIM,
,mouse,mouse.DIM,topo-DIMmasc,MOUSE.DIM,topo-DIM,topolin,TBD,,,masc,ANIM,
,bull,bull,toromasc,BULL,toro,toron,o,,II,masc,ANIM,
,bull,bull,toromasc,BULL,toro,tor,o,,II,masc,ANIM,
,,,torremasc,,torre,torr,e,,III,masc,,
,,,torremasc,,torre,<torr,e,,III,masc,,
,,,torremasc,,torre,torre,-ø,,VI,masc,,
,,,tortafem,,torta,tort,a,,I,fem,,
,turtledove,turtledove,tortorafem,TURTLEDOVE,tortora,tortor,a,,I,fem,ANIM,
,cough,cough,tossefem,COUGH,tosse,tosse,-ø,,VI,fem,,
,,,tramontomasc,,tramonto,tramont,o,,II,masc,,
,,,trappolafem,,trappola,trappol,a,,I,fem,,
,tractor,tractor,trattoremasc,TRACTOR,trattore,trattor,e,,III,masc,,
,tractor,tractor,trattoremasc,TRACTOR,trattore,tra(ttore,e,,III,masc,,
,fine_braid,fine_braid,treccinafem,FINE_BRAID,treccina,treccin,a,,I,fem,,
,,,trenomasc,,treno,tren,o,,II,masc,,
,,.DIM,treno-DIMmasc,.DIM,treno-DIM,trenin,TBD,,,masc,,
,triangle,triangle,triangolomasc,TRIANGLE,triangolo,triangol,o,,II,masc,,
,,,triciclomasc,,triciclo,tricicl,o,,II,masc,,
,SAD,SAD,,,triste,trist,,,,,,
,trumpet,trumpet,trombafem,TRUMPET,tromba,tromb,a,,I,fem,,
,trunk,trunk,troncomasc,TRUNK,tronco,tronc,o,,II,masc,,
,throne,throne,tronomasc,THRONE,trono,tron,o,,II,masc,,
,,,trottolafem,,trottola,trottol,a,,I,fem,,
,,.DIM,trottola-DIMfem,.DIM,trottola-DIM,trottolin,TBD,,,fem,,
,,,tubomasc,,tubo,tub,o,,II,masc,,
,dive,dive,tuffomasc,DIVE,tuffo,tuff,o,,II,masc,,
,,,tutafem,,tuta,tut,a,,I,fem,,
,television,television,tvfem,TELEVISION,tv,tv,-ø,,VI,fem,,
,,,uccellomasc,,uccello,uccellon,o,,II,masc,,
,,,uccellomasc,,uccello,uccell,o,,II,masc,,
,,.DIM,uccello-DIMmasc,.DIM,uccello-DIM,uccellin,TBD,,,masc,,
,hula_hoop,hula_hoop,ulaopmasc,HULA_HOOP,ulaop,ulaop,-ø,,VI,masc,,
,,,unghiafem,,unghia,unghi,a,,I,fem,,
,SINGLE,SINGLE,,,unico,unic,,,,,,
,man,man,uomomasc,MAN,uomo,omon,o,,II,masc,,
,,,uomomasc,,uomo,uom,o,,II,masc,,
,man,man.DIM,uomo-DIMmasc,MAN.DIM,uomo-DIM,omin,TBD,,,masc,,
,,.DIM,uomo-DIMmasc,.DIM,uomo-DIM,uomin,TBD,,,masc,,
,egg,egg,uovamasc,EGG,uova,uov,a,,,masc,,
,egg,egg,uovomasc,EGG,uovo,uov,o,,II,masc,,
,egg,egg.DIM,uovo-DIMmasc,EGG.DIM,uovo-DIM,ovett,TBD,,,masc,,
,,,uvafem,,uva,uv,a,,I,fem,,
,vaccination,vaccination,vaccinazionefem,VACCINATION,vaccinazione,vaccinazione,-ø,,VI,fem,,
,,,valigiafem,,valigia,valigi,a,,I,fem,,
,waltz,waltz,valzermasc,WALTZ,valzer,valzer,-ø,,VI,masc,,
,,,vascafem,,vasca,vasc,a,,I,fem,,
,,,vasomasc,,vaso,vas,o,,II,masc,,
,,.DIM,vaso-DIMmasc,.DIM,vaso-DIM,vasin,TBD,,,masc,,
,,,velomasc,,velo,vel,o,,II,masc,,
,,,ventomasc,,vento,vent,o,,II,masc,,
,GREEN,GREEN,,,verde,verd,,,,,,
,,,verdemasc,,verde,verd,e,,III,masc,,
,,,veritàfem,,verità,verità,-ø,,VI,fem,,
,,,vermemasc,,verme,verm,e,,III,masc,,
,,.DIM,verme-DIMmasc,.DIM,verme-DIM,vermett,TBD,,,masc,,
,REAL,REAL,,,vero,ver,,,,,,
,,,versomasc,,verso,vers,o,,II,masc,,
,wasp,wasp,vespafem,WASP,vespa,vesp,a,,I,fem,ANIM,
,,,vetromasc,,vetro,vetr,o,,II,masc,,
,,,viafem,,via,vi,a,,I,fem,,
,trip,trip,viaggiomasc,TRIP,viaggio,viaggi,o,,II,masc,,
,neighbor,neighbor,vicinofem,NEIGHBOR,vicino,vicin,o,,,fem,ANIM,
,video_camera,video_camera,videocamerafem,VIDEO_CAMERA,videocamera,videocamer,a,,I,fem,,
,,,vigilemasc,,vigile,vigil,e,,III,masc,,
,village,village,villaggiomasc,VILLAGE,villaggio,villaggi,o,,II,masc,,
,wine,wine,vinomasc,WINE,vino,vin,o,,II,masc,,
,violet,violet,,,viola,viola,,,,,,
,,,violafem,,viola,viol,a,,I,fem,,
,,,vitafem,,vita,vit,a,,I,fem,,
,screw,screw,vitefem,SCREW,vite,vit,e,,III,fem,,
,,,vocefem,,voce,voce,-ø,,VI,fem,,
,wheel,wheel,volantemasc,WHEEL,volante,volant,e,,III,masc,,
,fox,fox,volpefem,FOX,volpe,volpe,-ø,,VI,fem,ANIM,
