delete?,ROOT,ROOT+DIM,unique,UPPER,Italian lemma,Italian stem form,singular affix,pl affix,class,grammatical gender,animate?,feminine?
,MOUTH,MOUTH,boccafem,MOUTH,bocca,bocc,a,,I,fem,,
,BILL,BILL,bollettafem,BILL,bolletta,bollett,a,,I,fem,,
,aerosol,aerosol,bombolettafem,AEROSOL,bomboletta,bombolett,a,e,I,fem,,
,HANDBAG,HANDBAG.DIM,borsa-DIM-DIMfem,HANDBAG.DIM,borsa-DIM-DIM,borsettin,a,e,I,fem,,
,WOODS,WOODS,boscomasc,WOODS,bosco,bosc,o,,II,masc,,
,blow,blow,bottafem,BLOW,botta,bott,a,,I,fem,,
delete,BARREL,BARREL,bottemasc,,botte,bott,e,,III,masc,,
,BOTTLE,BOTTLE,bottigliafem,BOTTLE,bottiglia,bottigli,a,,I,fem,,
delete,,,bottigliafem,,bottiglia,<bottiglia,a,,I,fem,,
,button,button,bottonemasc,BUTTON,bottone,botton,e,,III,masc,,
,button,button.DIM,bottone-DIMmasc,BUTTON.DIM,bottone-DIM,bottoncin,o,i,II,masc,,
,garage,garage,boxmasc,GARAGE,box,box,-ø,,VI,masc,,
,arms,arms,bracciomasc,ARMS,braccio,bracci,o,,II,masc,,
,BRAV,BRAV,,,bravo,brav,,,,,,
,crumb,crumb.DIM,briciola-DIMfem,CRUMB.DIM,briciola-DIM,briciolin,a,e,I,fem,,
delete,UGGO,UGGO,bruttofem,,brutto,brutt,a,e,I,fem,,
,UGGO,UGGO,bruttomasc,UGGO,brutto,brutt,o,i,II,masc,,
,hole,hole,bucafem,HOLE,buca,buc,a,,I,fem,,
,peel,peel,bucciafem,PEEL,buccia,bucci,a,,I,fem,,
,hole,hole,bucomasc,HOLE,buco,buc,o,,II,masc,,
,hole,hole.DIM,buco-DIMmasc,HOLE.DIM,buco-DIM,buchett,o,i,II,masc,,
,PUDDING,PUDDING,budinomasc,PUDDING,budino,budin,o,,II,masc,,
,DARKNESS,DARKNESS,buiomasc,DARKNESS,buio,bui,o,,II,masc,,
,bulldog,bulldog,bulldogmasc,BULLDOG,bulldog,bulldog,-ø,,VI,masc,ANIM,
,good,good,,,buono,buon,,,,,,
,bus,bus,busmasc,BUS,bus,bus,-ø,,VI,masc,,
,shit,shit,caccafem,SHIT,cacca,cacc,a,,I,fem,,
delete,,,cacciafem,,caccia,cacci,a,,I,fem,,
,hunter,hunter,cacciatoremasc,HUNTER,cacciatore,cacciator,e,,III,masc,,
,dog,dog.DIM,cagno-DIMmasc,DOG.DIM,cagno-DIM,cagnolin,o,i,II,masc,,
,,,calciomasc,,calcio,calci,o,,II,masc,,
,,,calciomasc,,calcio,calcion,o,,II,masc,,
,,,calciomasc,,calcio,calc,o,,II,masc,,
,,,calciomasc,,calcio,calcio,-ø,,VI,masc,,
,hot,hot,,,caldo,cald,,,,,,
,calendar,calendar,calendariomasc,CALENDAR,calendario,calendar,o,,II,masc,,
,calendar,calendar,calendariomasc,CALENDAR,calendario,calendari,o,,II,masc,,
,sock,sock,calzafem,SOCK,calza,calz,a,e,I,fem,,
,sock,sock.DIM,calza-DIMfem,SOCK.DIM,calza-DIM,calzett,a,e,I,fem,,
,,,calzettomasc,,calzetto,calzett,o,,II,masc,,
,trousers,trousers,calzonimasc,TROUSERS,calzoni,calzoni,-ø,,VI,masc,,
,SHIRT,SHIRT,camiciafem,SHIRT,camicia,camici,a,,I,fem,,
,fireplace,fireplace,caminomasc,FIREPLACE,camino,camin,o,,II,masc,,
,TRUCK,TRUCK,camionmasc,TRUCK,camion,camion,-ø,-ø,VI,masc,,
,CAMEL,CAMEL,cammellomasc,CAMEL,cammello,cammell,o,i,II,masc,ANIM,
,BELL,BELL,campanafem,BELL,campana,campan,a,e,I,fem,,
,champion,champion,campionemasc,CHAMPION,campione,campion,e,,III,masc,,
,field,field,campomasc,FIELD,campo,camp,o,,II,masc,,
,canary,canary,canarinomasc,CANARY,canarino,canarin,o,,II,masc,ANIM,
,CANDLE,CANDLE,candelafem,CANDLE,candela,candel,a,e,I,fem,,
,CANDLE,CANDLE.DIM,candela-DIMfem,CANDLE.DIM,candela-DIM,candelin,a,e,I,fem,,
,dog,dog,canemasc,DOG,cane,can,e,i,III,masc,ANIM,
,basket,basket,canestromasc,BASKET,canestro,canestr,o,,II,masc,,
,basket,basket,canestromasc,BASKET,canestro,canestro+/,o,,II,masc,,
,kangaroo,kangaroo,canguromasc,KANGAROO,canguro,cangur,o,,II,masc,ANIM,
,CANE,CANE,cannafem,CANE,canna,cann,a,,I,fem,,
,singlet,singlet,canottierafem,SINGLET,canottiera,canottier,a,,I,fem,,
,song,song,canzonefem,SONG,canzone,canzon,e,,III,fem,,
,song,song.DIM,canzone-DIMfem,SONG.DIM,canzone-DIM,canzoncin,a,e,I,fem,,
,hut,hut,capannafem,HUT,capanna,capann,a,,I,fem,,
,HAIR,HAIR,capellomasc,HAIR,capello,capell,o,i,II,masc,,
,dizziness,dizziness,capogiromasc,DIZZINESS,capogiro,capogir,o,,II,masc,,
,HAT,HAT,cappellomasc,HAT,cappello,cappell,o,,II,masc,,
,GOAT,GOAT.DIM,capra-DIMfem,GOAT.DIM,capra-DIM,caprett,a,e,I,fem,ANIM,+FEM
,GOAT,GOAT.DIM,capra-DIMmasc,GOAT.DIM,capra-DIM,caprett,o,i,II,masc,ANIM,-FEM
,whim,whim,capricciomasc,WHIM,capriccio,capricc,o,,II,masc,,
,somersault,somersault,capriolafem,SOMERSAULT,capriola,capriol,a,,I,fem,,
,CANDY,CANDY,caramellafem,CANDY,caramella,caramell,a,,I,fem,,
,goldfinch,goldfinch,cardellinomasc,GOLDFINCH,cardellino,cardellin,o,,II,masc,ANIM,
,music_box,music_box,carillonmasc,MUSIC_BOX,carillon,carillon,-ø,,VI,masc,,
,MEAT,MEAT,carnefem,MEAT,carne,carn,e,i,III,fem,,
,CARROT,CARROT,carotafem,CARROT,carota,carot,a,e,I,fem,,
,trolley,trolley,carrellomasc,TROLLEY,carrello,carrell,o,,II,masc,,
,barrow,barrow,carriolafem,BARROW,carriola,carriol,a,,I,fem,,
,coach,coach,carrozzafem,COACH,carrozza,carrozz,a,,I,fem,,
,paper,paper,cartafem,PAPER,carta,cart,a,e,I,fem,,
,paper,paper.DIM,carta-DIMfem,PAPER.DIM,carta-DIM,cartin,a,e,I,fem,,
,pasteboard,pasteboard,cartoncinomasc,PASTEBOARD,cartoncino,cartoncin,o,,II,masc,,
,HOUSE,HOUSE,casafem,HOUSE,casa,cas,a,e,I,fem,,
,HOUSE,HOUSE.DIM,casa-DIMfem,HOUSE.DIM,casa-DIM,casett,a,e,I,fem,,
,till,till,cassafem,TILL,cassa,cass,a,,I,fem,,
