Line,"{'+atomic', '+definite'} - definite - a_2","{'-atomic', '+definite'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'-atomic', '+definite'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
484,58.800000000000566,41.60000000000032,63.50000000000063,25.400000000000095,24.100000000000076,32.9000000000002,11.899999999999975,22.90000000000006,4.400000000000001
485,58.90000000000057,41.60000000000032,63.50000000000063,25.600000000000097,24.100000000000076,32.9000000000002,11.899999999999975,22.90000000000006,4.500000000000001
486,59.20000000000057,41.70000000000032,63.50000000000063,25.7000000000001,24.100000000000076,33.0000000000002,11.899999999999975,22.90000000000006,4.500000000000001
487,59.20000000000057,41.800000000000324,63.80000000000064,25.7000000000001,24.200000000000077,33.1000000000002,11.999999999999975,23.100000000000062,4.500000000000001
488,59.20000000000057,41.900000000000325,64.10000000000063,25.7000000000001,24.30000000000008,33.2000000000002,12.099999999999975,23.300000000000065,4.500000000000001
489,59.500000000000576,42.00000000000033,64.10000000000063,25.8000000000001,24.30000000000008,33.3000000000002,12.099999999999975,23.300000000000065,4.500000000000001
490,59.90000000000058,42.10000000000033,64.10000000000063,25.9000000000001,24.30000000000008,33.400000000000205,12.099999999999975,23.300000000000065,4.500000000000001
491,60.200000000000585,42.20000000000033,64.10000000000063,26.000000000000103,24.30000000000008,33.500000000000206,12.099999999999975,23.300000000000065,4.500000000000001
492,60.30000000000059,42.40000000000033,64.20000000000063,26.000000000000103,24.30000000000008,33.500000000000206,12.099999999999975,23.300000000000065,4.500000000000001
493,60.60000000000059,42.500000000000334,64.20000000000063,26.100000000000104,24.30000000000008,33.60000000000021,12.099999999999975,23.300000000000065,4.500000000000001
494,61.0000000000006,42.600000000000335,64.20000000000063,26.200000000000106,24.30000000000008,33.70000000000021,12.099999999999975,23.300000000000065,4.500000000000001
495,61.0000000000006,42.600000000000335,64.30000000000062,26.200000000000106,24.40000000000008,33.70000000000021,12.099999999999975,23.300000000000065,4.500000000000001
496,61.0000000000006,42.70000000000034,64.6000000000006,26.200000000000106,24.50000000000008,33.80000000000021,12.199999999999974,23.500000000000068,4.500000000000001
497,61.3000000000006,42.80000000000034,64.6000000000006,26.300000000000107,24.50000000000008,33.90000000000021,12.199999999999974,23.500000000000068,4.500000000000001
498,61.3000000000006,42.80000000000034,64.7000000000006,26.300000000000107,24.600000000000083,33.90000000000021,12.199999999999974,23.500000000000068,4.500000000000001
499,61.4000000000006,43.00000000000034,64.8000000000006,26.300000000000107,24.600000000000083,33.90000000000021,12.199999999999974,23.500000000000068,4.500000000000001
500,61.4000000000006,43.10000000000034,65.20000000000057,26.300000000000107,24.700000000000085,34.00000000000021,12.299999999999974,23.70000000000007,4.500000000000001
501,61.4000000000006,43.10000000000034,65.30000000000057,26.300000000000107,24.800000000000086,34.00000000000021,12.299999999999974,23.70000000000007,4.500000000000001
502,61.80000000000061,43.200000000000344,65.30000000000057,26.40000000000011,24.800000000000086,34.100000000000215,12.299999999999974,23.70000000000007,4.500000000000001
503,62.10000000000061,43.300000000000345,65.30000000000057,26.50000000000011,24.800000000000086,34.200000000000216,12.299999999999974,23.70000000000007,4.500000000000001
504,62.200000000000614,43.300000000000345,65.40000000000056,26.50000000000011,24.800000000000086,34.40000000000022,12.299999999999974,23.70000000000007,4.500000000000001
505,62.300000000000615,43.300000000000345,65.50000000000055,26.50000000000011,24.800000000000086,34.60000000000022,12.299999999999974,23.70000000000007,4.500000000000001
506,62.300000000000615,43.300000000000345,65.60000000000055,26.50000000000011,24.900000000000087,34.60000000000022,12.299999999999974,23.70000000000007,4.500000000000001
507,62.300000000000615,43.40000000000035,65.90000000000053,26.50000000000011,25.00000000000009,34.70000000000022,12.399999999999974,23.900000000000073,4.500000000000001
