Line,set(),{'la_1'},{'a_2'},{'i_1'},{'o_1'},{'e_2'},"{'e_2', 'a_2'}","{'la_1', 'e_2'}","{'i_1', 'o_1'}",{'la_2'},{'a_3'},"{'i_1', 'a_2'}","{'e_2', 'o_1'}"
67,10.299999999999999,0,22.600000000000072,10.499999999999998,10.999999999999996,10.1,,,,,,,
68,10.299999999999999,0,22.700000000000074,10.499999999999998,10.999999999999996,10.1,,,,,,,
69,10.299999999999999,0,22.700000000000074,10.499999999999998,10.999999999999996,10.1,,,,,,,
70,10.299999999999999,0,23.000000000000078,10.499999999999998,10.999999999999996,10.1,,,,,,,
71,10.299999999999999,0,23.000000000000078,10.499999999999998,10.999999999999996,10.2,,,,,,,
72,10.299999999999999,0,23.10000000000008,10.499999999999998,10.999999999999996,10.2,,,,,,,
73,10.299999999999999,0,23.10000000000008,10.499999999999998,10.999999999999996,10.2,,,,,,,
74,10.299999999999999,0,23.20000000000008,10.499999999999998,10.999999999999996,10.2,,,,,,,
75,10.399999999999999,0,23.500000000000085,10.499999999999998,10.999999999999996,10.2,,,,,,,
76,10.399999999999999,0,23.600000000000087,10.499999999999998,10.999999999999996,10.2,,,,,,,
77,10.399999999999999,0,24.000000000000092,10.499999999999998,10.999999999999996,10.2,,,,,,,
78,10.399999999999999,0,24.000000000000092,10.499999999999998,10.999999999999996,10.2,,,,,,,
79,10.399999999999999,0,24.000000000000092,10.499999999999998,10.999999999999996,10.2,,,,,,,
80,10.399999999999999,0,24.000000000000092,10.499999999999998,10.999999999999996,10.2,,,,,,,
81,10.399999999999999,0,24.100000000000094,10.499999999999998,10.999999999999996,10.2,,,,,,,
82,10.399999999999999,0,24.100000000000094,10.499999999999998,11.099999999999996,10.2,,,,,,,
83,10.399999999999999,0,24.700000000000102,10.499999999999998,11.099999999999996,10.2,,,,,,,
84,10.399999999999999,0,24.700000000000102,10.499999999999998,11.099999999999996,10.2,,,,,,,
85,10.399999999999999,0,24.700000000000102,10.499999999999998,11.099999999999996,10.2,,,,,,,
86,10.399999999999999,0,24.700000000000102,10.499999999999998,11.199999999999996,10.2,,,,,,,
87,10.399999999999999,0,24.700000000000102,10.499999999999998,11.199999999999996,10.2,,,,,,,
88,10.399999999999999,0,24.700000000000102,10.499999999999998,11.199999999999996,10.2,,,,,,,
89,10.399999999999999,0,24.800000000000104,10.499999999999998,11.199999999999996,10.2,,,,,,,
90,10.399999999999999,0,24.900000000000105,10.499999999999998,11.199999999999996,10.2,,,,,,,
91,10.399999999999999,0,25.100000000000108,10.499999999999998,11.199999999999996,10.2,,,,,,,
92,10.399999999999999,0,25.600000000000115,10.499999999999998,11.199999999999996,10.2,,,,,,,
93,10.399999999999999,0,25.600000000000115,10.499999999999998,11.299999999999995,10.2,,,,,,,
94,10.399999999999999,0,25.600000000000115,10.499999999999998,11.399999999999995,10.2,,,,,,,
95,10.399999999999999,0,25.90000000000012,10.499999999999998,11.399999999999995,10.299999999999999,,,,,,,
96,10.399999999999999,0,25.90000000000012,10.499999999999998,11.499999999999995,10.299999999999999,,,,,,,
97,10.399999999999999,0,26.200000000000124,10.499999999999998,11.499999999999995,10.299999999999999,,,,,,,
98,10.399999999999999,0,26.60000000000013,10.499999999999998,11.499999999999995,10.299999999999999,,,,,,,
