Line,lo_1,e_1,null_1,null_2,FLOWER_1,FLOWER_2,li_1,l_1,o_1,i_1,i_2,null_3,null_4,FLOWER_3,uno_1,un_1,null_5,null_6,la_1,a_1,null_7,null_8,KEY_1,KEY_2,le_1,e_2,null_9,null_10,KEY_3,una_1,SHIP_1,SHIP_2,SHIP_3,SHELF_1,SHELF_2,SHELF_3,a_2,null_11,BALL_1,BALL_2,e_3,null_12,BALL_3,FROG_1,FROG_2,FROG_3,ANCHOR_1,ANCHOR_2,ANCHOR_3,POTATO_1,POTATO_2,POTATO_3,o_2,null_13,BOOK_1,BOOK_2,BOOK_3,MOUSE_1,MOUSE_2,MOUSE_3,CASTLE_1,CASTLE_2,CASTLE_3,TOMATO_1,TOMATO_2,TOMATO_3
11,10.1,10.2,10.0,10.0,10.0,10.1,10.1,14.599999999999984,11.699999999999994,10.999999999999996,10.0,9.8,10.0,10.0,10.1,11.699999999999994,10.0,10.1,10.0,11.599999999999994,9.8,10.1,10.0,9.9,10.0,11.199999999999996,10.0,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10.1,10.1,10.0,10.0,10.0,10.1,10.1,15.39999999999998,11.699999999999994,11.199999999999996,10.0,9.8,9.9,10.0,10.1,11.899999999999993,10.0,10.1,9.9,12.199999999999992,9.8,10.1,10.0,9.9,10.0,11.399999999999995,10.0,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10.1,10.1,10.0,10.0,10.0,10.1,10.1,15.899999999999979,11.899999999999993,11.199999999999996,10.0,9.8,9.9,10.0,10.1,11.899999999999993,10.0,10.1,9.9,12.399999999999991,9.8,10.1,10.0,9.9,10.0,11.799999999999994,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.9,9.9,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
14,10.1,10.1,10.0,10.0,10.0,10.1,10.1,16.09999999999998,11.899999999999993,11.199999999999996,10.0,9.8,9.9,10.0,10.1,12.199999999999992,10.0,10.1,9.9,12.59999999999999,9.8,10.1,10.0,9.9,10.0,11.799999999999994,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.9,10.0,9.9,9.8,9.9,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
15,10.1,10.1,10.0,10.0,10.0,10.1,10.1,16.89999999999999,11.899999999999993,11.399999999999995,10.0,9.8,10.0,10.0,10.1,12.399999999999991,10.0,10.1,10.0,13.199999999999989,9.8,10.1,10.0,9.9,10.0,11.999999999999993,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.9,10.0,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,
16,10.1,10.1,10.0,10.0,10.0,10.1,10.0,17.5,12.099999999999993,11.399999999999995,10.0,9.700000000000001,10.0,10.0,10.1,12.399999999999991,10.0,10.1,10.0,13.399999999999988,9.8,10.1,10.0,9.9,10.0,12.399999999999991,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.8,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,
17,10.1,10.0,10.0,10.0,10.0,10.1,10.0,17.700000000000003,12.099999999999993,11.399999999999995,10.0,9.700000000000001,9.9,10.0,10.1,12.69999999999999,10.0,10.1,10.0,13.599999999999987,9.8,10.1,10.0,9.9,10.0,12.399999999999991,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.8,10.0,10.0,9.9,10.0,10.0,,,,,,,,,,,,,,,,,,,,
18,10.1,9.9,10.0,10.0,10.0,10.1,10.0,18.400000000000013,11.999999999999993,11.599999999999994,10.0,9.700000000000001,9.9,10.0,10.1,12.89999999999999,9.9,10.1,10.0,14.199999999999985,9.8,10.1,10.0,9.9,10.0,12.59999999999999,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.8,10.0,10.0,9.9,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,
19,10.1,9.9,10.0,10.0,10.0,10.1,10.0,18.90000000000002,12.199999999999992,11.599999999999994,10.0,9.700000000000001,9.9,10.0,10.1,12.89999999999999,9.9,10.0,10.0,14.399999999999984,9.8,10.1,10.0,9.9,10.0,12.99999999999999,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,10.0,10.0,9.9,9.8,9.700000000000001,10.0,10.0,9.9,10.0,10.0,9.9,10.0,9.9,,,,,,,,,,,,,,,,,
20,10.1,9.9,10.0,10.0,10.0,10.1,10.0,19.100000000000023,12.199999999999992,11.599999999999994,10.0,9.700000000000001,9.9,10.0,10.0,13.299999999999988,9.9,10.0,10.0,14.599999999999984,9.8,10.1,10.0,9.9,10.0,12.99999999999999,9.9,10.1,10.0,10.2,10.0,10.1,10.0,10.2,9.9,10.0,9.9,10.0,9.9,9.8,9.700000000000001,10.0,10.0,9.9,10.0,10.0,9.8,10.0,9.9,,,,,,,,,,,,,,,,,
