Line,set(),{'la_1'},{'a_2'},{'i_1'},{'o_1'},"{'i_1', 'o_1'}",{'e_2'},"{'e_2', 'a_2'}","{'i_1', 'a_2'}",{'la_2'},{'a_3'},"{'a_3', 'e_2'}","{'a_3', 'e_2', 'a_2'}","{'e_2', 'o_1'}"
45,10.0,0,12.099999999999993,10.299999999999999,10.899999999999997,10.299999999999999,10.0,,,,,,,
46,10.0,0,12.099999999999993,10.299999999999999,10.899999999999997,10.299999999999999,10.0,,,,,,,
47,10.0,0,12.099999999999993,10.299999999999999,10.899999999999997,10.399999999999999,10.0,,,,,,,
48,10.0,0,12.099999999999993,10.299999999999999,10.899999999999997,10.499999999999998,10.0,,,,,,,
49,10.0,0,12.099999999999993,10.299999999999999,10.899999999999997,10.499999999999998,10.0,,,,,,,
50,10.0,0,12.099999999999993,10.299999999999999,10.899999999999997,10.499999999999998,10.0,,,,,,,
51,10.0,0,12.099999999999993,10.299999999999999,10.899999999999997,10.499999999999998,10.0,,,,,,,
52,10.0,0,12.099999999999993,10.299999999999999,10.899999999999997,10.499999999999998,10.0,,,,,,,
53,10.0,0,12.099999999999993,10.299999999999999,10.999999999999996,10.499999999999998,10.0,,,,,,,
54,10.0,0,12.199999999999992,10.299999999999999,10.999999999999996,10.499999999999998,10.0,,,,,,,
55,10.0,0,12.299999999999992,10.299999999999999,10.999999999999996,10.499999999999998,10.0,,,,,,,
56,10.0,0,12.399999999999991,10.299999999999999,10.999999999999996,10.499999999999998,10.0,,,,,,,
57,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.499999999999998,10.0,,,,,,,
58,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.499999999999998,10.0,,,,,,,
59,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.599999999999998,10.0,,,,,,,
60,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.599999999999998,10.1,,,,,,,
61,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.699999999999998,10.1,,,,,,,
62,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.699999999999998,10.1,,,,,,,
63,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.699999999999998,10.1,,,,,,,
64,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.699999999999998,10.1,,,,,,,
65,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.799999999999997,10.1,,,,,,,
66,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.799999999999997,10.1,,,,,,,
67,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.799999999999997,10.1,10.0,,,,,,
68,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.799999999999997,10.1,10.1,,,,,,
69,10.0,0,12.499999999999991,10.299999999999999,10.999999999999996,10.899999999999997,10.1,10.1,,,,,,
70,10.0,0,12.59999999999999,10.299999999999999,10.999999999999996,10.899999999999997,10.1,10.1,,,,,,
71,10.0,0,12.59999999999999,10.299999999999999,11.099999999999996,10.899999999999997,10.1,10.1,,,,,,
72,10.0,0,12.59999999999999,10.299999999999999,11.099999999999996,10.999999999999996,10.1,10.1,,,,,,
73,10.0,0,12.59999999999999,10.299999999999999,11.099999999999996,11.099999999999996,10.1,10.1,,,,,,
74,10.0,0,12.59999999999999,10.299999999999999,11.099999999999996,11.099999999999996,10.1,10.1,,,,,,
75,10.0,0,12.69999999999999,10.299999999999999,11.099999999999996,11.099999999999996,10.1,10.1,,,,,,
76,10.0,0,12.69999999999999,10.299999999999999,11.099999999999996,11.099999999999996,10.1,10.1,10.0,,,,,
77,10.0,0,12.69999999999999,10.299999999999999,11.099999999999996,11.099999999999996,10.1,10.1,10.0,,,,,
78,10.0,0,12.69999999999999,10.299999999999999,11.099999999999996,11.199999999999996,10.1,10.1,10.0,,,,,
79,10.0,0,12.69999999999999,10.299999999999999,11.099999999999996,11.199999999999996,10.1,10.1,10.0,,,,,
80,10.0,0,12.69999999999999,10.299999999999999,11.099999999999996,11.199999999999996,10.1,10.1,10.0,,,,,
81,10.0,0,12.69999999999999,10.399999999999999,11.099999999999996,11.699999999999996,10.1,10.1,10.0,,,,,
82,10.0,0,12.69999999999999,10.399999999999999,11.099999999999996,11.699999999999996,10.1,10.1,10.0,,,,,
83,10.0,0,12.69999999999999,10.399999999999999,11.099999999999996,11.699999999999996,10.1,10.1,10.0,,,,,
84,10.0,0,12.69999999999999,10.399999999999999,11.099999999999996,11.699999999999996,10.1,10.1,10.0,,,,,
85,10.0,0,12.69999999999999,10.399999999999999,11.199999999999996,12.199999999999996,10.1,10.1,10.0,,,,,
86,10.0,0,12.69999999999999,10.399999999999999,11.199999999999996,12.199999999999996,10.1,10.1,10.0,,,,,
87,10.0,0,12.69999999999999,10.399999999999999,11.299999999999995,12.699999999999996,10.1,10.1,10.0,,,,,
88,10.0,0,12.69999999999999,10.399999999999999,11.399999999999995,13.199999999999996,10.1,10.1,10.0,,,,,
89,10.0,0,12.79999999999999,10.399999999999999,11.399999999999995,13.199999999999996,10.1,10.1,10.0,,,,,
90,10.0,0,12.79999999999999,10.399999999999999,11.399999999999995,13.199999999999996,10.1,10.1,10.0,,,,,
91,10.0,0,12.89999999999999,10.399999999999999,11.399999999999995,13.199999999999996,10.1,10.1,10.0,,,,,
92,10.0,0,12.89999999999999,10.399999999999999,11.399999999999995,13.199999999999996,10.1,10.1,10.1,,,,,
