Line,{'+feminine'},{'-feminine'},set()
197,22.300000000000068,24.000000000000092,10.0
198,22.300000000000068,24.100000000000094,10.0
199,22.300000000000068,24.300000000000097,10.0
200,22.40000000000007,24.300000000000097,10.0
201,22.50000000000007,24.300000000000097,10.0
202,22.600000000000072,24.300000000000097,10.0
203,22.800000000000075,24.300000000000097,10.0
204,22.800000000000075,24.5000000000001,10.0
205,22.900000000000077,24.5000000000001,10.0
206,22.900000000000077,24.6000000000001,10.0
207,22.900000000000077,24.800000000000104,10.0
208,22.900000000000077,24.900000000000105,10.0
209,23.000000000000078,24.900000000000105,10.0
210,23.10000000000008,24.900000000000105,10.0
211,23.300000000000082,24.900000000000105,10.0
212,23.400000000000084,24.900000000000105,10.0
213,23.400000000000084,25.20000000000011,10.0
214,23.700000000000088,25.20000000000011,10.0
215,23.700000000000088,25.30000000000011,10.0
216,24.000000000000092,25.30000000000011,10.0
217,24.000000000000092,25.400000000000112,10.0
218,24.100000000000094,25.400000000000112,10.0
219,24.100000000000094,25.500000000000114,10.0
220,24.100000000000094,25.600000000000115,10.0
221,24.100000000000094,25.700000000000117,10.0
222,24.100000000000094,25.90000000000012,10.0
223,24.100000000000094,26.200000000000124,10.0
224,24.200000000000095,26.200000000000124,10.0
225,24.5000000000001,26.200000000000124,10.0
226,24.5000000000001,26.300000000000125,10.0
227,24.5000000000001,26.400000000000126,10.0
228,24.6000000000001,26.400000000000126,10.0
229,24.700000000000102,26.400000000000126,10.0
230,24.800000000000104,26.400000000000126,10.0
231,25.000000000000107,26.400000000000126,10.0
232,25.000000000000107,26.500000000000128,10.0
233,25.000000000000107,26.800000000000132,10.0
234,25.000000000000107,26.900000000000134,10.0
235,25.100000000000108,26.900000000000134,10.0
236,25.100000000000108,27.200000000000138,10.0
237,25.400000000000112,27.200000000000138,10.0
238,25.400000000000112,27.30000000000014,10.0
239,25.400000000000112,27.40000000000014,10.0
240,25.400000000000112,27.600000000000144,10.0
241,25.500000000000114,27.600000000000144,10.0
242,25.700000000000117,27.600000000000144,10.0
243,25.800000000000118,27.600000000000144,10.0
244,25.90000000000012,27.600000000000144,10.0
245,25.90000000000012,27.700000000000145,10.0
246,25.90000000000012,27.800000000000146,10.0
247,25.90000000000012,27.900000000000148,10.0
248,26.200000000000124,27.900000000000148,10.0
249,26.200000000000124,28.200000000000152,10.0
250,26.200000000000124,28.300000000000153,10.0
251,26.500000000000128,28.300000000000153,10.0
252,26.60000000000013,28.300000000000153,10.0
253,26.70000000000013,28.300000000000153,10.0
254,26.70000000000013,28.400000000000155,10.0
255,26.800000000000132,28.400000000000155,10.0
256,26.800000000000132,28.500000000000156,10.0
257,26.900000000000134,28.500000000000156,10.0
258,26.900000000000134,28.80000000000016,10.0
259,27.000000000000135,28.80000000000016,10.0
260,27.000000000000135,28.900000000000162,10.0
261,27.100000000000136,28.900000000000162,10.0
262,27.40000000000014,28.900000000000162,10.0
263,27.40000000000014,29.000000000000163,10.0
264,27.40000000000014,29.100000000000165,10.0
265,27.700000000000145,29.100000000000165,10.0
266,27.800000000000146,29.100000000000165,10.0
267,27.800000000000146,29.200000000000166,10.0
268,27.800000000000146,29.300000000000168,10.0
269,27.800000000000146,29.600000000000172,10.0
270,27.800000000000146,29.900000000000176,10.0
271,27.800000000000146,30.000000000000178,10.0
272,28.10000000000015,30.000000000000178,10.0
273,28.10000000000015,30.10000000000018,10.0
274,28.300000000000153,30.10000000000018,10.0
275,28.400000000000155,30.10000000000018,10.0
276,28.400000000000155,30.20000000000018,10.0
277,28.400000000000155,30.500000000000185,10.0
278,28.400000000000155,30.80000000000019,10.0
279,28.400000000000155,30.90000000000019,10.0
280,28.400000000000155,31.000000000000192,10.0
281,28.600000000000158,31.000000000000192,10.0
282,28.600000000000158,31.100000000000193,10.0
283,28.600000000000158,31.200000000000195,10.0
284,28.70000000000016,31.200000000000195,10.0
285,28.70000000000016,31.300000000000196,10.0
286,28.70000000000016,31.6000000000002,10.0
287,28.80000000000016,31.6000000000002,10.0
288,28.80000000000016,31.700000000000202,10.0
289,28.80000000000016,32.000000000000206,10.0
290,28.80000000000016,32.30000000000021,10.0
291,28.900000000000162,32.30000000000021,10.0
292,29.000000000000163,32.30000000000021,10.0
293,29.100000000000165,32.30000000000021,10.0
294,29.300000000000168,32.30000000000021,10.0
295,29.600000000000172,32.30000000000021,10.0
