Line,{'+definite'} - False,{'-definite'} - False,{'+atomic'} - True,{'-atomic'} - True
111,13.499999999999988,11.199999999999996,13.099999999999989,11.599999999999994
112,13.499999999999988,11.199999999999996,13.099999999999989,11.599999999999994
113,13.599999999999987,11.199999999999996,13.099999999999989,11.699999999999994
114,13.699999999999987,11.199999999999996,13.199999999999989,11.699999999999994
115,13.799999999999986,11.199999999999996,13.299999999999988,11.699999999999994
116,13.799999999999986,11.199999999999996,13.299999999999988,11.699999999999994
117,13.899999999999986,11.199999999999996,13.399999999999988,11.699999999999994
118,13.899999999999986,11.199999999999996,13.399999999999988,11.699999999999994
119,13.899999999999986,11.199999999999996,13.399999999999988,11.699999999999994
120,13.999999999999986,11.199999999999996,13.399999999999988,11.799999999999994
121,13.999999999999986,11.199999999999996,13.399999999999988,11.799999999999994
122,13.999999999999986,11.199999999999996,13.399999999999988,11.799999999999994
123,14.099999999999985,11.199999999999996,13.499999999999988,11.799999999999994
124,14.099999999999985,11.199999999999996,13.499999999999988,11.799999999999994
125,14.099999999999985,11.199999999999996,13.499999999999988,11.799999999999994
126,14.099999999999985,11.199999999999996,13.499999999999988,11.799999999999994
127,14.099999999999985,11.199999999999996,13.499999999999988,11.799999999999994
128,14.099999999999985,11.199999999999996,13.499999999999988,11.799999999999994
129,14.099999999999985,11.199999999999996,13.499999999999988,11.799999999999994
130,14.099999999999985,11.199999999999996,13.499999999999988,11.799999999999994
131,14.099999999999985,11.199999999999996,13.499999999999988,11.799999999999994
132,14.099999999999985,11.299999999999995,13.599999999999987,11.799999999999994
133,14.099999999999985,11.299999999999995,13.599999999999987,11.799999999999994
134,14.099999999999985,11.299999999999995,13.599999999999987,11.799999999999994
135,14.099999999999985,11.299999999999995,13.599999999999987,11.799999999999994
136,14.199999999999985,11.299999999999995,13.699999999999987,11.799999999999994
137,14.299999999999985,11.299999999999995,13.699999999999987,11.899999999999993
138,14.299999999999985,11.299999999999995,13.699999999999987,11.899999999999993
139,14.299999999999985,11.299999999999995,13.699999999999987,11.899999999999993
140,14.399999999999984,11.299999999999995,13.699999999999987,11.999999999999993
141,14.499999999999984,11.299999999999995,13.699999999999987,12.099999999999993
142,14.499999999999984,11.299999999999995,13.699999999999987,12.099999999999993
143,14.599999999999984,11.299999999999995,13.799999999999986,12.099999999999993
144,14.599999999999984,11.299999999999995,13.799999999999986,12.099999999999993
145,14.699999999999983,11.299999999999995,13.899999999999986,12.099999999999993
146,14.699999999999983,11.299999999999995,13.899999999999986,12.099999999999993
