Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '+atomic'} - definite - o_2","{'-definite', '+atomic', '-feminine'} - definite - o_2","{'-definite', '+atomic'} - definite - o_2","{'+feminine', '-definite', '+atomic'} - definite - a_2","{'-definite', '+atomic', '-feminine'} - definite - o_3","{'+feminine', '-definite', '+atomic'} - definite - a_3","{'+feminine', '-definite', '+atomic'} - definite - a_4","{'+feminine', '+definite', '+atomic'} - definite - a_4","{'+definite', '-atomic', '-feminine'} - definite - i_2","{'+definite', '-atomic', '-feminine'} - definite - i_3","{'+feminine', '+definite', '-atomic'} - definite - e_2","{'+definite', '+atomic', '-feminine'} - definite - o_3","{'+feminine', '+definite', '-atomic'} - definite - e_4","{'+definite', '+atomic', '-feminine'} - definite - o_2","{'+definite', '-atomic', '-feminine'} - definite - i_4","{'+feminine', '+definite', '+atomic'} - definite - a_3","{'+definite', '-atomic'} - definite - i_4","{'-definite', '+atomic'} - definite - a_2","{'+feminine', '+definite', '+atomic'} - definite - a_2"
35,2.6000000000000014,1.5000000000000004,3.200000000000002,1.8000000000000007,1.2000000000000002,1.4000000000000004,1.5000000000000004,1.9000000000000008,1.4000000000000004,2.000000000000001,2.000000000000001,1.4000000000000004,2.300000000000001,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.1,1
36,2.6000000000000014,1.5000000000000004,3.300000000000002,1.8000000000000007,1.3000000000000003,1.4000000000000004,1.5000000000000004,1.9000000000000008,1.4000000000000004,2.000000000000001,2.000000000000001,1.4000000000000004,2.300000000000001,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.1,1
37,2.6000000000000014,1.5000000000000004,3.400000000000002,1.8000000000000007,1.4000000000000004,1.4000000000000004,1.5000000000000004,1.9000000000000008,1.4000000000000004,2.000000000000001,2.000000000000001,1.4000000000000004,2.300000000000001,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.1,1
38,2.7000000000000015,1.5000000000000004,3.400000000000002,1.8000000000000007,1.4000000000000004,1.4000000000000004,1.6000000000000005,1.9000000000000008,1.4000000000000004,2.000000000000001,2.000000000000001,1.4000000000000004,2.300000000000001,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.3000000000000003,1.1
39,2.7000000000000015,1.5000000000000004,3.500000000000002,1.9000000000000008,1.4000000000000004,1.4000000000000004,1.6000000000000005,1.9000000000000008,1.4000000000000004,2.000000000000001,2.000000000000001,1.4000000000000004,2.300000000000001,1.4000000000000004,1,1.2000000000000002,1.1,1.1,1.5000000000000004,1.3000000000000003,1.1
40,2.7000000000000015,1.5000000000000004,3.500000000000002,1.9000000000000008,1.4000000000000004,1.4000000000000004,1.6000000000000005,1.9000000000000008,1.4000000000000004,2.000000000000001,2.000000000000001,1.4000000000000004,2.300000000000001,1.5000000000000004,1,1.3000000000000003,1.1,1.1,1.5000000000000004,1.3000000000000003,1.1
41,2.8000000000000016,1.8000000000000007,3.6000000000000023,1.9000000000000008,1.4000000000000004,1.4000000000000004,1.6000000000000005,1.9000000000000008,1.4000000000000004,2.100000000000001,2.000000000000001,1.5000000000000004,2.300000000000001,1.5000000000000004,1,1.3000000000000003,1.1,1.1,1.5000000000000004,1.3000000000000003,1.1
42,2.9000000000000017,1.8000000000000007,3.7000000000000024,1.9000000000000008,1.4000000000000004,1.4000000000000004,1.6000000000000005,1.9000000000000008,1.4000000000000004,2.200000000000001,2.300000000000001,1.7000000000000006,2.300000000000001,1.5000000000000004,1.1,1.4000000000000004,1.3000000000000003,1.1,1.5000000000000004,1.3000000000000003,1.1
43,3.0000000000000018,1.8000000000000007,3.7000000000000024,1.9000000000000008,1.4000000000000004,1.4000000000000004,1.7000000000000006,1.9000000000000008,1.4000000000000004,2.200000000000001,2.300000000000001,1.7000000000000006,2.300000000000001,1.5000000000000004,1.1,1.4000000000000004,1.3000000000000003,1.1,1.5000000000000004,1.5000000000000004,1.2000000000000002
44,3.0000000000000018,1.8000000000000007,3.7000000000000024,1.9000000000000008,1.4000000000000004,1.4000000000000004,1.7000000000000006,1.9000000000000008,1.4000000000000004,2.200000000000001,2.300000000000001,1.7000000000000006,2.300000000000001,1.5000000000000004,1.1,1.4000000000000004,1.3000000000000003,1.1,1.5000000000000004,1.5000000000000004,1.2000000000000002
45,3.0000000000000018,1.8000000000000007,3.7000000000000024,1.9000000000000008,1.4000000000000004,1.4000000000000004,1.7000000000000006,1.9000000000000008,1.4000000000000004,2.200000000000001,2.300000000000001,1.7000000000000006,2.300000000000001,1.5000000000000004,1.1,1.4000000000000004,1.3000000000000003,1.1,1.5000000000000004,1.5000000000000004,1.2000000000000002
46,3.0000000000000018,1.8000000000000007,3.8000000000000025,2.000000000000001,1.4000000000000004,1.4000000000000004,1.8000000000000007,1.9000000000000008,1.4000000000000004,2.200000000000001,2.300000000000001,1.7000000000000006,2.300000000000001,1.5000000000000004,1.1,1.4000000000000004,1.3000000000000003,1.1,1.5000000000000004,1.5000000000000004,1.2000000000000002
47,3.100000000000002,1.8000000000000007,3.9000000000000026,2.000000000000001,1.4000000000000004,1.4000000000000004,1.8000000000000007,1.9000000000000008,1.4000000000000004,2.200000000000001,2.300000000000001,1.7000000000000006,2.5000000000000013,1.5000000000000004,1.1,1.4000000000000004,1.3000000000000003,1.1,1.5000000000000004,1.5000000000000004,1.2000000000000002
48,3.100000000000002,1.8000000000000007,3.9000000000000026,2.000000000000001,1.4000000000000004,1.4000000000000004,1.8000000000000007,1.9000000000000008,1.4000000000000004,2.200000000000001,2.300000000000001,1.7000000000000006,2.5000000000000013,1.6000000000000005,1.1,1.5000000000000004,1.3000000000000003,1.1,1.5000000000000004,1.5000000000000004,1.2000000000000002
49,3.200000000000002,1.8000000000000007,4.000000000000003,2.000000000000001,1.4000000000000004,1.4000000000000004,1.8000000000000007,1.9000000000000008,1.4000000000000004,2.300000000000001,2.6000000000000014,2.000000000000001,2.5000000000000013,1.6000000000000005,1.2000000000000002,1.6000000000000005,1.4000000000000004,1.1,1.5000000000000004,1.5000000000000004,1.2000000000000002
50,3.200000000000002,1.8000000000000007,4.100000000000002,2.100000000000001,1.4000000000000004,1.4000000000000004,1.8000000000000007,1.9000000000000008,1.4000000000000004,2.300000000000001,2.6000000000000014,2.000000000000001,2.5000000000000013,1.6000000000000005,1.2000000000000002,1.6000000000000005,1.4000000000000004,1.1,1.5000000000000004,1.5000000000000004,1.2000000000000002
51,3.300000000000002,2.100000000000001,4.200000000000002,2.100000000000001,1.4000000000000004,1.4000000000000004,1.8000000000000007,1.9000000000000008,1.4000000000000004,2.4000000000000012,2.6000000000000014,2.100000000000001,2.6000000000000014,1.6000000000000005,1.2000000000000002,1.6000000000000005,1.4000000000000004,1.1,1.5000000000000004,1.5000000000000004,1.2000000000000002
52,3.400000000000002,2.100000000000001,4.300000000000002,2.100000000000001,1.4000000000000004,1.4000000000000004,1.8000000000000007,1.9000000000000008,1.4000000000000004,2.5000000000000013,2.9000000000000017,2.300000000000001,2.6000000000000014,1.6000000000000005,1.3000000000000003,1.7000000000000006,1.5000000000000004,1.1,1.5000000000000004,1.5000000000000004,1.2000000000000002
53,3.400000000000002,2.200000000000001,4.8,2.200000000000001,1.5000000000000004,1.4000000000000004,1.8000000000000007,1.9000000000000008,1.4000000000000004,2.5000000000000013,3.0000000000000018,2.300000000000001,2.7000000000000015,1.6000000000000005,1.3000000000000003,1.8000000000000007,1.5000000000000004,1.2000000000000002,1.5000000000000004,1.5000000000000004,1.2000000000000002
54,3.500000000000002,2.200000000000001,4.8999999999999995,2.200000000000001,1.5000000000000004,1.4000000000000004,1.8000000000000007,1.9000000000000008,1.4000000000000004,2.6000000000000014,3.0000000000000018,2.300000000000001,2.7000000000000015,1.6000000000000005,1.4000000000000004,1.8000000000000007,1.5000000000000004,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
55,3.6000000000000023,2.200000000000001,4.8999999999999995,2.200000000000001,1.5000000000000004,1.5000000000000004,1.9000000000000008,2.200000000000001,1.5000000000000004,2.7000000000000015,3.0000000000000018,2.300000000000001,2.7000000000000015,1.6000000000000005,1.4000000000000004,1.8000000000000007,1.5000000000000004,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
56,3.7000000000000024,2.200000000000001,4.999999999999999,2.200000000000001,1.5000000000000004,1.5000000000000004,1.9000000000000008,2.200000000000001,1.5000000000000004,2.7000000000000015,3.0000000000000018,2.300000000000001,2.9000000000000017,1.6000000000000005,1.4000000000000004,1.8000000000000007,1.5000000000000004,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
57,3.7000000000000024,2.200000000000001,5.099999999999999,2.300000000000001,1.5000000000000004,1.5000000000000004,1.9000000000000008,2.200000000000001,1.5000000000000004,2.7000000000000015,3.0000000000000018,2.300000000000001,2.9000000000000017,1.6000000000000005,1.4000000000000004,1.8000000000000007,1.5000000000000004,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
58,3.8000000000000025,2.200000000000001,5.099999999999999,2.300000000000001,1.5000000000000004,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,2.8000000000000016,3.0000000000000018,2.300000000000001,2.9000000000000017,1.6000000000000005,1.4000000000000004,1.8000000000000007,1.5000000000000004,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
